============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: T
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rU
R2 c0 b636 m10600 rJ
R3 c0 b696 m11554 rB
R4 c0 b654 m10858 rB
R5 c0 b618 m10204 rD
R6 c0 b618 m10204 rH
R7 c0 b576 m9586 rD
R8 c0 b576 m9586 rL
R9 c0 b510 m8434 rW
R10 c0 b540 m8944 rL
R11 c0 b510 m8404 rU
R12 c0 b540 m8914 rW
R13 c0 b600 m9994 rB
R14 c0 b564 m9394 rW
R15 c0 b600 m9958 rU
R16 c0 b672 m11158 rS
R17 c0 b654 m10822.0 rW
R18 c0 b732 m12130.0 rW
R19 c0 b774 m12862.0 rH
R20 c0 b726 m12088.0 rL
R21 c0 b684 m11362.0 rB
R22 c0 b642 m10678.0 rH
R23 c0 b606 m10036.0 rW
R24 c0 b642 m10642.0 rU
R25 c0 b678 m11284.0 rB
R26 c0 b642 m10606.0 rJ
R27 c0 b696 m11569.0 rL
R28 c0 b612 m10177.0 rU
R29 c0 b648 m10789.0 rW
R30 c0 b690 m11437.0 rL
R31 c0 b648 m10747.0 rW
R32 c0 b684 m11395.0 rW
R33 c0 b726 m12079.0 rU
R34 c0 b774 m12805.0 rH
R35 c0 b678 m11257.0 rH
R36 c0 b636 m10579.0 rW
R37 c0 b678 m11215.0 rB
R38 c0 b636 m10537.0 rU
R39 c0 b672 m11173.0 rB
R40 c0 b636 m10501.0 rB
R41 c0 b594 m9865.0 rD
R42 c0 b594 m9865.0 rS
R43 c0 b576 m9568.0 rU
R44 c0 b612 m10144.0 rJ
R45 c0 b666 m11062.0 rW
R46 c0 b744 m12394.0 rW
R47 c0 b792 m13138.0 rU
R48 c0 b840 m13930.0 rL
R49 c0 b786 m13090.0 rU
R50 c0 b834 m13876.0 rD
R51 c0 b834 m13876.0 rL
R52 c0 b738 m12208.0 rH
R53 c0 b648 m10732.0 rD
R54 c0 b648 m10732.0 rL
R55 c0 b606 m10084.0 rU
R56 c0 b642 m10690.0 rW
R57 c0 b684 m11332.0 rU
R58 c0 b762 m12700.0 rU
R59 c0 b858 m14224.0 rW
R60 c0 b906 m15082.0 rU
R61 c0 b960 m15988.0 rU
R62 c0 b1020 m16948.0 rU
R63 c0 b1080 m17968.0 rS
R64 c0 b1050 m17428.0 rW
R65 c0 b1110 m18478.0 rH
R66 c0 b1044 m17368.0 rB
R67 c0 b984 m16324.0 rJ
R68 c0 b1068 m17800.0 rW
R69 c0 b1134 m18868.0 rL
R70 c0 b1068 m17734.0 rL
R71 c0 b1002 m16666.0 rW
R72 c0 b1122 m18670.0 rH
R73 c0 b990 m16426.0 rJ
