============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: T
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rU
R2 c0 b742 m10600 rL
R3 c0 b594 m9858 rS
R4 c0 b672 m9561.0 rB
R5 c0 b623 m8889.0 rW
R6 c0 b714 m10135.0 rU
R7 c0 b763 m10849.0 rH
R8 c0 b707 m10086.0 rB
R9 c0 b658 m9379.0 rS
R10 c0 b637 m9050.0 rU
R11 c0 b679 m9687.0 rW
R12 c0 b728 m10366.0 rL
R13 c0 b679 m9638.0 rB
R14 c0 b630 m8959.0 rU
R15 c0 b672 m9589.0 rH
R16 c0 b630 m8917.0 rL
R17 c0 b539 m7657.0 rW
R18 c0 b616 m8735.0 rS
R19 c0 b595 m8427.0 rH
R20 c0 b553 m7832.0 rB
R21 c0 b511 m7279.0 rL
R22 c0 b476 m6768.0 rH
R23 c0 b441 m6292.0 rW
R24 c0 b476 m6733.0 rW
R25 c0 b539 m7685.0 rW
R26 c0 b581 m8224.0 rW
R27 c0 b623 m8805.0 rD
R28 c0 b623 m8805.0 rW
R29 c0 b665 m9428.0 rB
R30 c0 b616 m8763.0 rW
R31 c0 b658 m9379.0 rW
R32 c0 b707 m10037.0 rD
R33 c0 b707 m10037.0 rS
R34 c0 b679 m9683.5 rU
R35 c0 b728 m10362.5 rU
R36 c0 b777 m11090.5 rB
R37 c0 b728 m10313.5 rJ
R38 c0 b805 m11405.5 rH
R39 c0 b749 m10600.5 rB
R40 c0 b693 m9851.5 rH
R41 c0 b644 m9158.5 rB
R42 c0 b602 m8514.5 rL
R43 c0 b560 m7912.5 rH
R44 c0 b476 m6792.5 rW
R45 c0 b511 m7268.5 rL
R46 c0 b441 m6246.5 rU
R47 c0 b469 m6687.5 rL
R48 c0 b441 m6218.5 rU
R49 c0 b469 m6659.5 rU
R50 c0 b504 m7128.5 rW
R51 c0 b539 m7632.5 rB
R52 c0 b497 m7093.5 rW
R53 c0 b532 m7590.5 rB
R54 c0 b497 m7058.5 rL
R55 c0 b462 m6561.5 rW
R56 c0 b497 m7023.5 rU
R57 c0 b532 m7520.5 rD
R58 c0 b532 m7520.5 rL
R59 c0 b490 m6988.5 rJ
R60 c0 b546 m7723.5 rL
R61 c0 b469 m6631.5 rL
R62 c0 b434 m6162.5 rU
R63 c0 b462 m6596.5 rU
R64 c0 b497 m7058.5 rJ
R65 c0 b553 m7804.5 rW
R66 c0 b588 m8357.5 rD
R67 c0 b588 m8357.5 rH
R68 c0 b546 m7769.5 rW
R69 c0 b588 m8315.5 rB
R70 c0 b546 m7727.5 rW
R71 c0 b581 m8273.5 rW
R72 c0 b623 m8854.5 rD
