============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: T
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rS
R2 c-1 b485 m9700.0 rU
R3 c-4 b306 m10185.0 rU
R4 c-4 b315 m10491.0 rW
R5 c-5 b327 m10806.0 rU
R6 c-5 b336 m11133.0 rB
R7 c-7 b216 m10797.0 rW
R8 c-7 b222 m11013.0 rL
R9 c-10 b108 m10791.0 rL
R10 c-8 b107 m10683.0 rW
R11 c-10 b108 m10790.0 rH
R12 c-10 b107 m10682.0 rL
R13 c-10 b106 m10575.0 rW
R14 c-10 b107 m10681.0 rL
R15 c-9 b106 m10574.0 rU
R16 c-10 b107 m10680.0 rU
R17 c-10 b108 m10787.0 rS
R18 c-10 b108 m10733.0 rB
R19 c-8 b107 m10625.0 rS
R20 c-9 b106 m10571.5 rW
R21 c-10 b107 m10677.5 rS
R22 c-10 b107 m10624.0 rW
R23 c-9 b108 m10731.0 rB
R24 c-8 b107 m10623.0 rL
R25 c-10 b106 m10516.0 rL
R26 c-10 b105 m10410.0 rW
R27 c-10 b106 m10515.0 rU
R28 c-10 b107 m10621.0 rH
R29 c-9 b106 m10514.0 rW
R30 c-10 b107 m10620.0 rL
R31 c-10 b106 m10513.0 rD
R32 c-10 b106 m10513.0 rS
R33 c-10 b105 m10460.0 rB
R34 c-10 b104 m10355.0 rW
R35 c-10 b105 m10459.0 rS
R36 c-10 b105 m10406.5 rU
R37 c-10 b106 m10511.5 rW
R38 c-9 b107 m10617.5 rL
R39 c-8 b106 m10510.5 rU
R40 c-10 b107 m10616.5 rS
R41 c-10 b106 m10563.0 rS
R42 c-9 b106 m10510.0 rL
R43 c-10 b105 m10404.0 rL
R44 c-10 b103 m10299.0 rW
R45 c-10 b105 m10402.0 rU
R46 c-10 b106 m10507.0 rU
R47 c-10 b107 m10613.0 rL
R48 c-10 b106 m10506.0 rU
R49 c-10 b107 m10612.0 rW
R50 c-10 b108 m10719.0 rJ
R51 c-10 b109 m10881.0 rL
R52 c-9 b108 m10772.0 rL
R53 c-10 b107 m10664.0 rU
R54 c-10 b108 m10771.0 rB
R55 c-10 b107 m10663.0 rH
R56 c-10 b106 m10556.0 rU
R57 c-10 b107 m10662.0 rU
R58 c-8 b108 m10769.0 rL
R59 c-10 b107 m10661.0 rB
R60 c-10 b106 m10554.0 rL
R61 c-10 b105 m10448.0 rL
R62 c-10 b104 m10343.0 rD
R63 c-10 b104 m10343.0 rL
R64 c-10 b103 m10239.0 rB
R65 c-8 b102 m10136.0 rW
R66 c-10 b103 m10238.0 rL
R67 c-9 b102 m10135.0 rU
R68 c-10 b103 m10237.0 rL
R69 c-10 b102 m10134.0 rU
