============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: T
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rW
R2 c2 b954 m10600 rL
R3 c3 b783 m8692 rB
R4 c2 b720 m7909 rB
R5 c4 b720 m7189 rU
R6 c4 b800 m7909 rB
R7 c4 b720 m7109 rS
R8 c4 b680 m6749.0 rU
R9 c3 b675 m7429.0 rW
R10 c1 b656 m8104.0 rU
R11 c2 b855 m9416.0 rL
R12 c4 b860 m8561.0 rB
R13 c6 b858 m7701.0 rL
R14 c4 b690 m6843.0 rL
R15 c4 b620 m6153.0 rL
R16 c3 b450 m4913.0 rL
R17 c3 b405 m4463.0 rH
R18 c2 b369 m4058.0 rU
R19 c2 b405 m4427.0 rS
R20 c2 b387 m4224.5 rL
R21 c2 b351 m3837.5 rW
R22 c4 b420 m4188.5 rL
R23 c7 b374 m3348.5 rD
R24 c8 b408 m3348.5 rL
R25 c6 b330 m2940.5 rU
R26 c4 b370 m3600.5 rL
R27 c4 b290 m2860.5 rS
R28 c3 b252 m2715.5 rW
R29 c5 b300 m2967.5 rW
R30 c6 b363 m3267.5 rB
R31 c8 b360 m2904.5 rS
R32 c9 b336 m2724.5 rS
R33 c9 b312 m2556.5 rU
R34 c7 b319 m2868.5 rU
R35 c6 b352 m3187.5 rW
R36 c5 b360 m3539.5 rU
R37 c5 b390 m3899.5 rB
R38 c7 b396 m3509.5 rL
R39 c10 b384 m3113.5 rL
R40 c10 b336 m2729.5 rL
R41 c10 b288 m2393.5 rW
R42 c10 b324 m2681.5 rL
R43 c10 b288 m2357.5 rJ
R44 c9 b336 m2789.5 rW
R45 c10 b384 m3125.5 rH
R46 c9 b336 m2741.5 rW
R47 c9 b420 m3413.5 rB
R48 c10 b360 m2993.5 rU
R49 c9 b408 m3353.5 rD
R50 c7 b374 m3353.5 rL
R51 c8 b360 m2979.5 rU
R52 c5 b340 m3339.5 rU
R53 c5 b370 m3679.5 rU
R54 c4 b410 m4049.5 rD
R55 c3 b369 m4049.5 rW
R56 c4 b450 m4418.5 rJ
R57 c2 b459 m5093.5 rL
R58 c4 b470 m4634.5 rJ
R59 c3 b486 m5339.5 rB
R60 c3 b441 m4853.5 rB
R61 c3 b405 m4412.5 rU
R62 c1 b424 m5222.5 rW
R63 c2 b549 m6070.5 rL
R64 c4 b560 m5521.5 rU
R65 c3 b549 m6081.5 rB
R66 c4 b560 m5532.5 rS
R67 c3 b477 m5252.5 rL
R68 c3 b432 m4775.5 rD
R69 c4 b480 m4775.5 rU
R70 c4 b530 m5255.5 rU
R71 c4 b580 m5785.5 rH
R72 c3 b477 m5205.5 rB
R73 c2 b432 m4728.5 rL
