============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: U
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rL
R2 c-2 b470 m9400 rU
R3 c-5 b297 m9870 rL
R4 c-7 b186 m9276 rL
R5 c-9 b91 m9090 rU
R6 c-10 b92 m9181 rD
R7 c-10 b92 m9181 rB
R8 c-10 b91 m9089 rU
R9 c-10 b92 m9180 rU
R10 c-10 b93 m9272 rB
R11 c-10 b92 m9179 rS
R12 c-10 b92 m9133.0 rL
R13 c-10 b91 m9041.0 rU
R14 c-10 b93 m9223.0 rW
R15 c-10 b95 m9409.0 rL
R16 c-10 b93 m9219.0 rW
R17 c-10 b95 m9405.0 rW
R18 c-10 b95 m9500.0 rH
R19 c-10 b94 m9310.0 rD
R20 c-10 b94 m9310.0 rD
R21 c-10 b94 m9310.0 rW
R22 c-10 b95 m9498.0 rB
R23 c-10 b95 m9403.0 rU
R24 c-10 b95 m9498.0 rW
R25 c-10 b96 m9593.0 rL
R26 c-10 b95 m9497.0 rU
R27 c-10 b96 m9592.0 rL
R28 c-10 b95 m9496.0 rL
R29 c-10 b95 m9401.0 rJ
R30 c-10 b96 m9544.0 rB
R31 c-10 b95 m9448.0 rW
R32 c-10 b96 m9543.0 rW
R33 c-10 b97 m9639.0 rU
R34 c-10 b99 m9833.0 rU
R35 c-10 b100 m9932.0 rJ
R36 c-10 b101 m10082.0 rH
R37 c-10 b100 m9981.0 rL
R38 c-10 b99 m9881.0 rD
R39 c-10 b99 m9881.0 rU
R40 c-10 b100 m9980.0 rS
R41 c-10 b100 m9930.0 rU
R42 c-10 b102 m10130.0 rU
R43 c-10 b104 m10334.0 rH
R44 c-10 b103 m10230.0 rD
R45 c-10 b103 m10230.0 rU
R46 c-10 b105 m10436.0 rJ
R47 c-10 b106 m10594.0 rB
R48 c-10 b105 m10488.0 rU
R49 c-10 b106 m10593.0 rB
R50 c-10 b105 m10487.0 rW
R51 c-10 b106 m10592.0 rW
R52 c-10 b107 m10698.0 rU
R53 c-10 b109 m10805.0 rB
R54 c-10 b107 m10696.0 rB
R55 c-10 b106 m10589.0 rL
R56 c-10 b105 m10483.0 rU
R57 c-10 b106 m10588.0 rW
R58 c-10 b107 m10694.0 rS
R59 c-10 b107 m10640.5 rL
R60 c-10 b106 m10533.5 rW
R61 c-10 b107 m10639.5 rL
R62 c-10 b106 m10532.5 rB
R63 c-10 b105 m10426.5 rU
R64 c-10 b106 m10531.5 rW
R65 c-10 b107 m10637.5 rU
R66 c-10 b108 m10744.5 rL
R67 c-10 b107 m10636.5 rH
R68 c-10 b106 m10529.5 rH
R69 c-10 b105 m10423.5 rU
R70 c-10 b106 m10528.5 rU
R71 c-10 b107 m10634.5 rU
R72 c-10 b108 m10741.5 rS
R73 c-10 b107 m10687.5 rH
R74 c-10 b106 m10580.5 rL
R75 c-10 b105 m10474.5 rL
R76 c-10 b103 m10264.5 rL
R77 c-10 b102 m10161.5 rW
R78 c-10 b103 m10263.5 rD
R79 c-10 b103 m10263.5 rW
R80 c-10 b104 m10366.5 rU
R81 c-10 b105 m10470.5 rL
R82 c-10 b104 m10365.5 rL
R83 c-10 b103 m10261.5 rH
R84 c-10 b102 m10158.5 rL
R85 c-10 b101 m10056.5 rU
R86 c-10 b102 m10157.5 rB
R87 c-10 b101 m10055.5 rD
R88 c-10 b101 m10055.5 rL
R89 c-10 b100 m9954.5 rL
