============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: X
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rL
R2 c0 b658 m9400 rU
R3 c0 b707 m10058 rW
R4 c0 b756 m10765 rB
R5 c1 b808 m10009 rJ
R6 c0 b791 m11221 rD
R7 c2 b1017 m11221 rD
R8 c1 b904 m11221 rW
R9 c2 b1098 m12125 rL
R10 c0 b777 m11027 rJ
R11 c0 b732 m12193 rL
R12 c0 b690 m11461 rS
R13 c0 b784 m11116.0 rS
R14 c0 b648 m10724.0 rL
R15 c-1 b505 m10076.0 rU
R16 c-1 b530 m10581.0 rS
R17 c-2 b520 m10316.0 rU
R18 c-2 b545 m10836.0 rW
R19 c-2 b570 m11381.0 rD
R20 c-2 b570 m11381.0 rU
R21 c0 b882 m12521.0 rL
R22 c1 b936 m11639.0 rL
R23 c0 b686 m9767.0 rL
R24 c3 b819 m9081.0 rU
R25 c2 b891 m9900.0 rW
R26 c1 b864 m10791.0 rS
R27 c0 b728 m10359.0 rU
R28 c1 b888 m11087.0 rH
R29 c-1 b510 m10199.0 rU
R30 c0 b756 m10709.0 rL
R31 c1 b800 m9953.0 rW
R32 c1 b864 m10753.0 rW
R33 c2 b1125 m12481.0 rW
R34 c1 b1096 m13606.0 rL
R35 c0 b756 m12510.0 rL
R36 c3 b1062 m11754.0 rW
R37 c2 b1161 m12816.0 rW
R38 c1 b1120 m13977.0 rS
R39 c0 b945 m13417.0 rU
R40 c2 b1386 m15307.0 rB
R41 c1 b1120 m13921.0 rH
R42 c1 b1032 m12801.0 rD
R43 c2 b1161 m12801.0 rS
R44 c1 b984 m12220.5 rU
R45 c1 b1064 m13204.5 rB
R46 c1 b976 m12140.5 rL
R47 c0 b672 m11164.5 rD
R48 c0 b784 m11164.5 rH
R49 c0 b576 m9596.5 rB
R50 c0 b637 m9020.5 rL
R51 c1 b672 m8383.5 rW
R52 c3 b819 m9055.5 rD
R53 c2 b819 m9055.5 rS
R54 c2 b783 m8646.0 rU
R55 c3 b855 m9429.0 rW
R56 c1 b824 m10284.0 rU
R57 c3 b1008 m11108.0 rJ
R58 c3 b1143 m12620.0 rW
R59 c1 b1104 m13763.0 rL
R60 c1 b1016 m12659.0 rU
R61 c1 b1096 m13675.0 rS
R62 c0 b924 m13127.0 rL
R63 c1 b984 m12203.0 rW
R64 c2 b1278 m14171.0 rW
R65 c0 b1085 m15449.0 rW
R66 c1 b1328 m16534.0 rB
R67 c2 b1377 m15206.0 rU
R68 c0 b1162 m16583.0 rL
R69 c1 b1240 m15421.0 rL
R70 c2 b1278 m14181.0 rL
R71 c2 b1170 m12903.0 rJ
R72 c1 b1176 m14658.0 rU
R73 c2 b1539 m17010.0 rB
R74 c1 b1240 m15471.0 rU
R75 c2 b1512 m16711.0 rB
R76 c2 b1368 m15199.0 rD
R77 c1 b1216 m15199.0 rL
R78 c0 b980 m13983.0 rL
R79 c-1 b655 m13003.0 rH
R80 c-3 b496 m12348.0 rU
R81 c-1 b670 m13340.0 rS
R82 c0 b786 m13005.0 rU
R83 c0 b966 m13791.0 rS
R84 c1 b1072 m13308.0 rU
R85 c0 b864 m14380.0 rH
R86 c0 b889 m12652.0 rU
R87 c1 b1088 m13541.0 rL
R88 c0 b875 m12453.0 rU
R89 c2 b1206 m13328.0 rS
R90 c2 b1152 m12725.0 rL
R91 c4 b1160 m11573.0 rS
R92 c3 b990 m10993.0 rW
R93 c4 b1200 m11983.0 rB
R94 c2 b972 m10783.0 rU
R95 c2 b1062 m11755.0 rU
R96 c3 b1251 m13879.0 rW
R97 c1 b1216 m15130.0 rW
R98 c0 b1148 m16346.0 rL
R99 c1 b1128 m14050.0 rU
R100 c1 b1216 m15178.0 rU
R101 c1 b1312 m16394.0 rU
R102 c0 b1068 m17706.0 rU
R103 c0 b1128 m18774.0 rB
R104 c0 b1062 m17646.0 rU
R105 c0 b1316 m18708.0 rW
R106 c-1 b1005 m20024.0 rJ
R107 c-1 b1080 m21532.0 rD
R108 c-1 b1080 m21532.0 rB
R109 c-3 b820 m20452.0 rW
R110 c-2 b1065 m21272.0 rD
R111 c-4 b639 m21272.0 rW
R112 c-4 b660 m21911.0 rH
R113 c-1 b1065 m21251.0 rU
R114 c-3 b896 m22316.0 rU
R115 c-4 b699 m23212.0 rU
R116 c-3 b960 m23911.0 rU
R117 c-2 b1245 m24871.0 rL
R118 c-1 b1185 m23626.0 rH
R119 c-2 b1125 m22441.0 rU
R120 c-2 b1235 m24691.0 rL
R121 c0 b1338 m22221.0 rB
R122 c-1 b1045 m20883.0 rW
R123 c0 b1320 m21928.0 rL
R124 c0 b1449 m20608.0 rD
R125 c-1 b1035 m20608.0 rW
R126 c-1 b1135 m22678.0 rU
R127 c-1 b1195 m23813.0 rU
R128 c0 b1757 m25008.0 rW
R129 c0 b1608 m26765.0 rW
R130 c-1 b1420 m28373.0 rJ
R131 c0 b1836 m30503.0 rL
R132 c1 b2152 m26831.0 rB
R133 c0 b1729 m24679.0 rW
R134 c2 b2385 m26408.0 rW
R135 c4 b2880 m28793.0 rB
R136 c3 b2340 m25913.0 rW
R137 c2 b2547 m28253.0 rL
R138 c0 b1806 m25706.0 rH
R139 c1 b1912 m23900.0 rW
R140 c0 b1813 m25812.0 rU
R141 c1 b2360 m29438.0 rS
R142 c2 b2547 m28258.0 rL
R143 c2 b2322 m25711.0 rJ
R144 c1 b2336 m29194.0 rJ
R145 c0 b2289 m32698.0 rL
R146 c0 b1830 m30409.0 rW
R147 c0 b2046 m34069.0 rS
R148 c0 b2317 m33046.0 rU
R149 c-1 b1770 m35363.0 rL
R150 c0 b2352 m33593.0 rU
R151 c0 b2160 m35945.0 rD
R152 c-1 b1800 m35945.0 rU
R153 c-1 b1980 m39545.0 rW
R154 c-3 b1664 m41525.0 rW
R155 c-4 b1296 m43189.0 rL
R156 c-6 b838 m41893.0 rU
R157 c-5 b1308 m43569.0 rU
R158 c-5 b1347 m44877.0 rL
R159 c-2 b2180 m43530.0 rL
R160 c0 b2484 m41350.0 rU
R161 c0 b2634 m43834.0 rU
R162 c-1 b2325 m46468.0 rW
R163 c0 b3072 m51118.0 rB
R164 c-1 b2405 m48046.0 rB
R165 c0 b2742 m45641.0 rH
R166 c0 b3003 m42899.0 rU
R167 c0 b3220 m45902.0 rU
R168 c0 b2952 m49122.0 rJ
R169 c0 b3216 m53550.0 rH
R170 c1 b4032 m50334.0 rH
R171 c1 b3384 m42270.0 rW
R172 c0 b3199 m45654.0 rW
R173 c1 b4168 m52052.0 rU
R174 c1 b4504 m56220.0 rW
R175 c0 b3648 m60724.0 rS
R176 c-1 b2945 m58900.0 rB
R177 c-2 b2800 m55955.0 rL
R178 c-2 b2520 m50355.0 rB
R179 c-2 b2395 m47835.0 rJ
R180 c-2 b2575 m51428.0 rL
R181 c0 b2934 m48853.0 rU
R182 c1 b4144 m51787.0 rU
R183 c0 b4207 m60075.0 rL
R184 c1 b4136 m51661.0 rS
R185 c1 b3968 m49593.0 rL
R186 c1 b3656 m45625.0 rW
R187 c1 b3944 m49281.0 rL
R188 c2 b4086 m45337.0 rW
R189 c4 b4950 m49423.0 rH
R190 c4 b4450 m44473.0 rH
R191 c3 b3609 m40023.0 rU
R192 c3 b3933 m43632.0 rS
R193 c2 b3753 m41665.5 rL
R194 c2 b3420 m37912.5 rH
R195 c1 b2760 m34492.5 rD
R196 c0 b2070 m34492.5 rS
R197 c0 b2010 m33457.5 rB
R198 c-1 b1575 m31447.5 rL
R199 c-1 b1495 m29872.5 rU
R200 c0 b1884 m31367.5 rL
R201 c2 b2655 m29483.5 rW
R202 c1 b2576 m32138.5 rW
R203 c0 b2088 m34714.5 rL
R204 c2 b2754 m30538.5 rB
R205 c1 b2224 m27784.5 rW
R206 c2 b2709 m30008.5 rW
R207 c4 b3550 m35426.5 rU
R208 c5 b4260 m42526.5 rS
R209 c4 b4040 m40396.5 rW
R210 c3 b4005 m44436.5 rS
R211 c2 b3825 m42434.0 rB
R212 c0 b2709 m38609.0 rL
R213 c0 b2513 m35900.0 rW
R214 c2 b3465 m38413.0 rH
R215 c0 b2450 m34948.0 rB
R216 c1 b2600 m32498.0 rH
R217 c0 b2093 m29898.0 rU
R218 c0 b1920 m31991.0 rL
R219 c0 b1806 m30071.0 rL
R220 c0 b1698 m28265.0 rL
R221 c0 b1596 m26567.0 rW
R222 c1 b2256 m28163.0 rB
R223 c1 b2080 m25907.0 rL
R224 c2 b1962 m21747.0 rW
R225 c3 b2142 m23709.0 rU
R226 c2 b2331 m25851.0 rU
R227 c2 b2538 m28182.0 rL
R228 c3 b2313 m25644.0 rB
R229 c2 b2106 m23331.0 rD
R230 c1 b1872 m23331.0 rU
R231 c2 b2277 m25203.0 rH
R232 c3 b2070 m22926.0 rL
R233 c1 b1672 m20856.0 rH
R234 c0 b1344 m19184.0 rL
R235 c2 b1611 m17840.0 rD
R236 c2 b1611 m17840.0 rW
R237 c3 b1899 m21062.0 rW
R238 c2 b2241 m24860.0 rU
R239 c1 b2176 m27101.0 rU
R240 c1 b2344 m29277.0 rD
R241 c3 b2637 m29277.0 rL
R242 c3 b2403 m26640.0 rB
R243 c3 b2187 m24237.0 rB
R244 c3 b1989 m22050.0 rB
R245 c2 b1809 m20061.0 rD
R246 c2 b1809 m20061.0 rJ
R247 c0 b1596 m22775.0 rB
R248 c-1 b1060 m21179.0 rB
R249 c-1 b1010 m20119.0 rD
R250 c-2 b1010 m20119.0 rS
R251 c-2 b985 m19614.0 rB
R252 c-3 b748 m18629.0 rU
R253 c0 b1212 m20125.0 rW
R254 c-1 b1070 m21337.0 rU
R255 c-2 b1125 m22407.0 rL
R256 c0 b1491 m21282.0 rU
R257 c0 b1596 m22773.0 rH
R258 c1 b1696 m21177.0 rD
R259 c0 b1484 m21177.0 rL
R260 c1 b1464 m18209.0 rS
R261 c0 b1225 m17477.0 rD
R262 c0 b1050 m17477.0 rL
R263 c0 b1155 m16427.0 rW
R264 c0 b1056 m17582.0 rW
R265 c-1 b935 m18638.0 rU
R266 c-2 b980 m19573.0 rW
R267 c-2 b1030 m20553.0 rB
R268 c-2 b980 m19523.0 rL
R269 c-3 b744 m18543.0 rB
R270 c-2 b890 m17799.0 rL
R271 c0 b966 m16019.0 rB
R272 c-1 b755 m15053.0 rJ
R273 c-2 b810 m16186.0 rD
R274 c-3 b648 m16186.0 rU
R275 c-2 b875 m17482.0 rL
R276 c-1 b835 m16607.0 rL
R277 c0 b948 m15772.0 rD
R278 c1 b1264 m15772.0 rL
R279 c2 b1314 m14508.0 rS
R280 c1 b1112 m13851.0 rL
R281 c2 b1152 m12739.0 rU
R282 c5 b1390 m13891.0 rW
R283 c4 b1670 m16671.0 rU
R284 c4 b2010 m20011.0 rL
R285 c6 b1760 m15991.0 rU
R286 c5 b1960 m19511.0 rL
R287 c3 b1584 m17551.0 rL
R288 c3 b1440 m15967.0 rU
R289 c1 b1400 m17407.0 rH
R290 c0 b966 m16007.0 rW
R291 c-1 b850 m16973.0 rW
R292 c-2 b895 m17823.0 rB
R293 c0 b1020 m16928.0 rW
R294 c-1 b900 m17948.0 rB
R295 c0 b1026 m17048.0 rB
R296 c0 b966 m16022.0 rD
R297 c0 b966 m16022.0 rW
R298 c0 b1190 m16988.0 rS
R299 c0 b1148 m16393.0 rU
R300 c1 b1408 m17541.0 rW
R301 c0 b1140 m18949.0 rW
R302 c-2 b1005 m20089.0 rL
R303 c-1 b905 m18079.0 rS
R304 c-1 b885 m17626.5 rU
R305 c0 b1116 m18511.5 rL
R306 c0 b1141 m16279.5 rU
R307 c1 b1488 m18561.5 rB
R308 c0 b1197 m17073.5 rD
R309 c0 b1197 m17073.5 rU
R310 c2 b1647 m18270.5 rL
R311 c0 b1169 m16623.5 rU
R312 c2 b1602 m17792.5 rU
R313 c0 b1358 m19394.5 rL
R314 c0 b1086 m18036.5 rU
R315 c0 b1344 m19122.5 rW
R316 c-1 b1025 m20466.5 rU
R317 c-1 b1075 m21491.5 rU
R318 c0 b1422 m23641.5 rD
R319 c-1 b1185 m23641.5 rW
R320 c-1 b1245 m24826.5 rH
R321 c-1 b1180 m23581.5 rU
R322 c-1 b1240 m24761.5 rW
R323 c0 b1827 m26001.5 rS
R324 c0 b1757 m25088.0 rL
R325 c2 b2106 m23331.0 rB
R326 c2 b1917 m21225.0 rL
R327 c3 b1746 m19308.0 rW
R328 c2 b1899 m21054.0 rU
R329 c0 b1610 m22953.0 rB
R330 c0 b1498 m21343.0 rU
R331 c0 b1708 m24339.0 rW
R332 c0 b1566 m26047.0 rL
R333 c-1 b1225 m24481.0 rL
R334 c-1 b1165 m23256.0 rU
R335 c-2 b1225 m24421.0 rL
R336 c-2 b1160 m23196.0 rL
R337 c-3 b884 m22036.0 rU
R338 c-1 b1150 m22920.0 rJ
R339 c-2 b1235 m24645.0 rW
R340 c-1 b1295 m25880.0 rL
R341 c-1 b1230 m24585.0 rW
R342 c-3 b1036 m25815.0 rU
R343 c-1 b1395 m27887.0 rW
R344 c-3 b1172 m29282.0 rU
R345 c-2 b1525 m30454.0 rJ
R346 c-2 b1640 m32742.0 rW
R347 c0 b2064 m34382.0 rW
R348 c-1 b1825 m36446.0 rW
R349 c-1 b1915 m38271.0 rU
R350 c0 b2814 m40186.0 rD
R351 c0 b2814 m40186.0 rU
R352 c0 b2580 m43000.0 rU
R353 c-3 b1824 m45580.0 rW
R354 c-3 b1900 m47404.0 rB
R355 c-2 b2280 m45504.0 rH
R356 c-2 b2165 m43224.0 rL
R357 c-1 b2055 m41059.0 rU
R358 c-1 b2160 m43114.0 rL
R359 c0 b2870 m40954.0 rS
R360 c0 b2376 m39519.0 rL
R361 c1 b2976 m37143.0 rW
R362 c0 b2412 m40119.0 rL
R363 c0 b2646 m37707.0 rW
R364 c2 b3870 m42999.0 rW
R365 c0 b3283 m46869.0 rB
R366 c0 b2616 m43586.0 rU
R367 c-2 b2315 m46202.0 rL
R368 c-1 b2195 m43887.0 rU
R369 c-3 b1844 m46082.0 rS
R370 c-3 b1808 m45160.0 rW
R371 c-2 b2350 m46968.0 rW
R372 c-1 b2470 m49318.0 rH
R373 c-2 b2345 m46848.0 rU
R374 c-3 b1968 m49193.0 rL
R375 c-2 b2365 m47225.0 rH
R376 c0 b3143 m44860.0 rH
R377 c0 b2926 m41717.0 rL
R378 c0 b2328 m38791.0 rW
R379 c-2 b2060 m41119.0 rS
R380 c-2 b2005 m40089.0 rW
R381 c-2 b2105 m42094.0 rL
R382 c0 b2653 m37884.0 rH
R383 c-1 b1765 m35231.0 rU
R384 c-1 b1850 m36996.0 rB
R385 c-2 b1760 m35146.0 rL
R386 c-3 b1336 m33386.0 rW
R387 c-3 b1392 m34722.0 rW
R388 c-3 b1448 m36114.0 rJ
R389 c-3 b1532 m38286.0 rU
R390 c-2 b1995 m39818.0 rJ
R391 c-2 b2145 m42811.0 rU
R392 c-3 b1800 m44956.0 rL
R393 c-1 b2160 m43156.0 rU
R394 c0 b2850 m47476.0 rU
R395 c-1 b2520 m50326.0 rH
R396 c0 b2874 m47806.0 rU
R397 c-1 b2535 m50680.0 rU
R398 c-3 b2132 m53215.0 rL
R399 c-2 b2555 m51083.0 rL
R400 c-1 b2430 m48528.0 rH
R401 c-2 b2305 m46098.0 rB
R402 c-3 b1752 m43793.0 rL
R403 c-2 b2105 m42041.0 rL
R404 c-1 b2000 m39936.0 rD
R405 c-1 b2000 m39936.0 rW
R406 c-1 b2100 m41936.0 rL
R407 c-1 b1995 m39836.0 rW
R408 c-1 b2095 m41831.0 rB
R409 c-2 b1990 m39736.0 rJ
R410 c-1 b2140 m42721.0 rH
R411 c-1 b2030 m40581.0 rL
R412 c-2 b1930 m38551.0 rS
R413 c-1 b1880 m37586.0 rL
R414 c-2 b1790 m35706.0 rW
R415 c-2 b1875 m37496.0 rU
R416 c-2 b1970 m39371.0 rH
R417 c-1 b1875 m37401.0 rL
R418 c0 b2136 m35526.0 rU
R419 c-1 b1885 m37662.0 rW
R420 c0 b2376 m39547.0 rH
R421 c0 b2232 m37171.0 rB
R422 c0 b2100 m34939.0 rD
R423 c-3 b1400 m34939.0 rJ
R424 c-3 b1484 m37039.0 rB
R425 c-4 b1068 m35555.0 rL
R426 c-3 b1380 m34487.0 rD
R427 c-3 b1380 m34487.0 rW
R428 c-2 b1795 m35867.0 rU
R429 c-3 b1508 m37662.0 rL
R430 c-1 b1810 m36154.0 rB
R431 c-2 b1720 m34344.0 rB
R432 c-3 b1308 m32624.0 rB
R433 c-3 b1256 m31316.0 rJ
R434 c-2 b1660 m33200.0 rU
R435 c0 b2094 m34860.0 rW
R436 c-1 b1850 m36954.0 rL
R437 c0 b1998 m33254.0 rL
R438 c0 b2051 m29258.0 rJ
R439 c0 b1944 m32335.0 rS
R440 c-1 b1570 m31363.0 rU
R441 c-3 b1320 m32933.0 rU
R442 c-3 b1372 m34253.0 rJ
R443 c-4 b1092 m36311.0 rW
R444 c-5 b1125 m37403.0 rB
R445 c-5 b1089 m36278.0 rW
R446 c-3 b1540 m38456.0 rS
