============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: X
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rD
R2 c-2 b500 m10000 rB
R3 c0 b570 m9500 rS
R4 c0 b651 m9215.0 rS
R5 c0 b534 m8889.5 rU
R6 c0 b665 m9423.5 rS
R7 c0 b637 m9091.0 rH
R8 c4 b850 m8454.0 rL
R9 c10 b924 m7604.0 rL
R10 c10 b804 m6680.0 rU
R11 c10 b996 m8288.0 rW
R12 c10 b1116 m9284.0 rL
R13 c10 b984 m8168.0 rU
R14 c10 b1104 m9152.0 rH
R15 c7 b891 m8048.0 rH
R16 c10 b864 m7157.0 rB
R17 c9 b756 m6293.0 rU
R18 c10 b852 m7049.0 rL
R19 c7 b682 m6197.0 rH
R20 c6 b616 m5515.0 rS
R21 c10 b636 m5207.0 rU
R22 c9 b708 m5843.0 rD
R23 c9 b708 m5843.0 rS
R24 c10 b660 m5489.0 rU
R25 c10 b744 m6149.0 rB
R26 c10 b660 m5405.0 rU
R27 c9 b732 m6065.0 rW
R28 c9 b816 m6797.0 rW
R29 c8 b924 m7613.0 rL
R30 c9 b804 m6689.0 rL
R31 c7 b649 m5885.0 rL
R32 c6 b583 m5236.0 rW
R33 c10 b708 m5819.0 rJ
R34 c8 b828 m6881.0 rW
R35 c10 b936 m7709.0 rU
R36 c10 b1044 m8645.0 rW
R37 c10 b1164 m9689.0 rW
R38 c9 b1308 m10853.0 rJ
R39 c10 b1548 m12815.0 rH
R40 c10 b1356 m11267.0 rD
R41 c10 b1356 m11267.0 rS
R42 c9 b1272 m10589.0 rL
R43 c10 b1128 m9317.0 rD
R44 c10 b1128 m9317.0 rU
R45 c8 b1260 m10445.0 rJ
R46 c9 b1488 m12335.0 rH
R47 c10 b1128 m9359.0 rW
R48 c10 b1260 m10487.0 rB
R49 c9 b1116 m9227.0 rU
R50 c8 b1248 m10343.0 rD
R51 c5 b1040 m10343.0 rU
R52 c10 b1368 m11383.0 rL
R53 c10 b1212 m10015.0 rU
R54 c10 b1356 m11227.0 rL
R55 c10 b1188 m9871.0 rW
R56 c10 b1332 m11059.0 rU
R57 c10 b1488 m12391.0 rB
R58 c8 b1320 m10903.0 rD
R59 c8 b1320 m10903.0 rS
R60 c7 b1133 m10243.0 rL
R61 c8 b1104 m9110.0 rS
R62 c9 b1032 m8558.0 rL
R63 c10 b912 m7526.0 rJ
R64 c10 b1068 m8894.0 rJ
R65 c8 b1260 m10496.0 rW
R66 c10 b1416 m11756.0 rL
R67 c10 b1248 m10340.0 rL
R68 c10 b1092 m9092.0 rJ
R69 c10 b1296 m10730.0 rW
R70 c7 b1331 m12026.0 rL
R71 c9 b1128 m9364.0 rW
R72 c10 b1260 m10492.0 rL
R73 c10 b1116 m9232.0 rH
R74 c9 b840 m7000.0 rS
R75 c9 b792 m6580.0 rU
R76 c8 b984 m8164.0 rU
R77 c10 b1224 m10132.0 rH
R78 c10 b1080 m8908.0 rD
R79 c6 b990 m8908.0 rB
R80 c4 b800 m7918.0 rB
R81 c4 b720 m7118.0 rH
R82 c10 b768 m6398.0 rL
R83 c10 b684 m5630.0 rL
R84 c9 b516 m4262.0 rL
R85 c10 b456 m3746.0 rB
R86 c9 b396 m3290.0 rD
R87 c10 b396 m3290.0 rU
R88 c9 b444 m3686.0 rL
R89 c10 b396 m3242.0 rW
R90 c10 b444 m3638.0 rL
R91 c10 b384 m3194.0 rU
R92 c10 b432 m3578.0 rW
R93 c7 b451 m4010.0 rH
R94 c10 b432 m3559.0 rU
R95 c8 b480 m3991.0 rW
R96 c7 b550 m4951.0 rB
R97 c5 b450 m4401.0 rW
R98 c7 b539 m4851.0 rH
R99 c5 b440 m4312.0 rU
R100 c8 b576 m4752.0 rU
R101 c7 b594 m5328.0 rL
R102 c10 b576 m4734.0 rJ
R103 c9 b672 m5598.0 rU
R104 c10 b756 m6270.0 rH
R105 c10 b672 m5514.0 rW
R106 c9 b744 m6186.0 rB
R107 c10 b660 m5442.0 rW
R108 c7 b682 m6102.0 rL
R109 c5 b550 m5420.0 rB
R110 c4 b490 m4870.0 rU
R111 c10 b648 m5360.0 rH
R112 c8 b576 m4712.0 rU
R113 c10 b636 m5288.0 rD
R114 c6 b583 m5288.0 rW
R115 c10 b708 m5871.0 rH
R116 c10 b624 m5163.0 rL
R117 c7 b506 m4539.0 rU
R118 c10 b612 m5045.0 rL
R119 c9 b540 m4433.0 rS
R120 c10 b504 m4163.0 rW
R121 c10 b624 m5171.0 rW
R122 c7 b638 m5795.0 rL
R123 c7 b572 m5157.0 rH
R124 c10 b552 m4585.0 rL
R125 c7 b451 m4033.0 rB
R126 c7 b396 m3582.0 rB
R127 c6 b352 m3186.0 rB
R128 c10 b348 m2834.0 rH
R129 c7 b275 m2486.0 rL
R130 c9 b240 m1936.0 rS
R131 c10 b228 m1816.0 rU
R132 c9 b252 m2044.0 rD
R133 c9 b252 m2044.0 rU
R134 c8 b276 m2296.0 rS
R135 c7 b242 m2158.0 rU
R136 c8 b288 m2400.0 rW
R137 c9 b360 m2976.0 rU
R138 c10 b408 m3336.0 rU
R139 c10 b456 m3744.0 rL
R140 c10 b396 m3288.0 rU
R141 c10 b444 m3684.0 rU
R142 c10 b504 m4128.0 rD
R143 c8 b504 m4128.0 rU
R144 c10 b564 m4632.0 rL
R145 c10 b492 m4068.0 rU
R146 c10 b612 m5052.0 rW
R147 c7 b627 m5664.0 rL
R148 c6 b561 m5037.0 rL
R149 c6 b495 m4476.0 rW
R150 c5 b500 m4971.0 rH
R151 c4 b450 m4471.0 rU
R152 c5 b500 m4921.0 rW
R153 c10 b660 m5421.0 rL
R154 c10 b576 m4761.0 rU
R155 c10 b648 m5337.0 rB
R156 c9 b564 m4689.0 rU
R157 c10 b708 m5817.0 rS
R158 c10 b660 m5463.0 rL
R159 c10 b504 m4143.0 rW
R160 c10 b564 m4647.0 rU
R161 c10 b636 m5211.0 rD
R162 c7 b583 m5211.0 rL
R163 c10 b564 m4628.0 rW
R164 c10 b624 m5192.0 rD
R165 c10 b624 m5192.0 rL
R166 c10 b480 m3944.0 rU
R167 c7 b495 m4424.0 rL
R168 c7 b440 m3929.0 rJ
R169 c10 b552 m4589.0 rL
R170 c10 b492 m4037.0 rS
R171 c9 b456 m3791.0 rU
R172 c10 b516 m4247.0 rL
R173 c7 b418 m3731.0 rL
R174 c10 b408 m3313.0 rW
R175 c9 b456 m3721.0 rU
R176 c10 b504 m4177.0 rW
R177 c10 b564 m4681.0 rB
R178 c10 b504 m4117.0 rB
R179 c8 b444 m3613.0 rU
R180 c10 b492 m4057.0 rL
R181 c9 b432 m3565.0 rL
R182 c6 b352 m3133.0 rU
R183 c7 b385 m3485.0 rU
R184 c7 b429 m3870.0 rL
R185 c10 b420 m3441.0 rL
R186 c7 b341 m3021.0 rU
R187 c9 b456 m3703.0 rH
R188 c10 b396 m3247.0 rW
R189 c10 b444 m3643.0 rU
R190 c10 b492 m4087.0 rW
R191 c10 b552 m4579.0 rW
R192 c7 b572 m5131.0 rJ
R193 c6 b660 m5989.0 rH
R194 c10 b648 m5329.0 rD
R195 c10 b648 m5329.0 rU
R196 c10 b720 m5977.0 rW
R197 c9 b804 m6697.0 rB
R198 c8 b708 m5893.0 rB
R199 c10 b624 m5185.0 rU
R200 c8 b708 m5809.0 rB
R201 c8 b624 m5101.0 rL
R202 c10 b540 m4477.0 rB
R203 c9 b480 m3937.0 rL
R204 c10 b420 m3457.0 rJ
R205 c7 b451 m4087.0 rL
R206 c6 b407 m3636.0 rU
R207 c4 b410 m4043.0 rS
R208 c4 b390 m3838.0 rU
R209 c10 b516 m4228.0 rL
R210 c10 b456 m3712.0 rH
R211 c7 b363 m3256.0 rB
R212 c6 b319 m2893.0 rB
R213 c6 b286 m2574.0 rW
R214 c10 b348 m2860.0 rL
R215 c10 b312 m2512.0 rW
R216 c9 b348 m2824.0 rW
R217 c10 b384 m3172.0 rS
R218 c9 b360 m2980.0 rL
R219 c10 b276 m2260.0 rH
R220 c10 b216 m1708.0 rW
R221 c10 b240 m1924.0 rU
R222 c9 b264 m2164.0 rL
R223 c10 b228 m1900.0 rL
R224 c8 b204 m1672.0 rB
R225 c10 b180 m1468.0 rU
R226 c8 b204 m1648.0 rL
R227 c8 b180 m1444.0 rW
R228 c9 b204 m1624.0 rU
R229 c6 b209 m1828.0 rU
R230 c6 b231 m2037.0 rU
R231 c10 b276 m2268.0 rL
R232 c10 b216 m1716.0 rJ
R233 c10 b252 m2040.0 rU
R234 c10 b276 m2292.0 rW
R235 c9 b312 m2568.0 rU
R236 c10 b384 m3192.0 rU
R237 c8 b432 m3576.0 rU
R238 c7 b451 m4008.0 rJ
R239 c10 b564 m4685.0 rU
R240 c9 b636 m5249.0 rD
R241 c8 b636 m5249.0 rW
R242 c6 b649 m5885.0 rL
R243 c10 b636 m5236.0 rW
R244 c9 b708 m5872.0 rU
R245 c10 b792 m6580.0 rW
R246 c10 b984 m8164.0 rW
R247 c9 b1104 m9148.0 rB
R248 c8 b972 m8044.0 rH
R249 c10 b852 m7072.0 rW
R250 c10 b960 m7924.0 rS
R251 c9 b900 m7444.0 rD
R252 c10 b900 m7444.0 rH
R253 c10 b792 m6544.0 rS
R254 c9 b744 m6148.0 rU
R255 c8 b828 m6892.0 rH
R256 c8 b732 m6064.0 rB
R257 c7 b594 m5332.0 rJ
R258 c5 b630 m6223.0 rL
R259 c7 b616 m5593.0 rU
R260 c10 b756 m6209.0 rH
R261 c10 b660 m5453.0 rL
R262 c9 b576 m4793.0 rU
R263 c10 b648 m5369.0 rL
R264 c10 b576 m4721.0 rL
R265 c8 b504 m4145.0 rB
R266 c6 b407 m3641.0 rL
R267 c5 b330 m3234.0 rD
R268 c2 b297 m3234.0 rW
R269 c3 b324 m3531.0 rH
R270 c9 b348 m2883.0 rW
R271 c10 b396 m3231.0 rW
R272 c10 b492 m4023.0 rJ
R273 c8 b576 m4761.0 rW
R274 c9 b648 m5337.0 rU
R275 c8 b720 m5985.0 rJ
R276 c7 b781 m7065.0 rU
R277 c10 b1044 m8627.0 rB
R278 c8 b912 m7583.0 rD
R279 c10 b912 m7583.0 rU
R280 c10 b1020 m8495.0 rD
R281 c7 b935 m8495.0 rS
R282 c7 b891 m8027.5 rL
R283 c9 b756 m6245.5 rW
R284 c6 b781 m7001.5 rL
R285 c6 b605 m5439.5 rU
R286 c3 b549 m6044.5 rL
R287 c2 b495 m5495.5 rW
R288 c7 b660 m5990.5 rW
R289 c10 b804 m6650.5 rW
R290 c7 b825 m7454.5 rH
R291 c10 b804 m6629.5 rB
R292 c9 b708 m5825.5 rS
R293 c8 b660 m5471.5 rL
R294 c10 b588 m4811.5 rJ
R295 c8 b684 m5693.5 rJ
R296 c7 b748 m6719.5 rH
R297 c10 b636 m5223.5 rU
R298 c10 b708 m5859.5 rL
R299 c10 b624 m5151.5 rS
R300 c10 b588 m4839.5 rU
R301 c8 b660 m5427.5 rU
R302 c10 b732 m6087.5 rW
R303 c10 b912 m7551.5 rW
R304 c6 b935 m8463.5 rL
R305 c10 b912 m7528.5 rW
R306 c10 b1128 m9352.5 rH
R307 c10 b996 m8224.5 rU
R308 c10 b1236 m10216.5 rB
R309 c9 b1080 m8980.5 rS
R310 c8 b1020 m8440.5 rD
R311 c9 b1020 m8440.5 rJ
R312 c6 b1100 m9970.5 rL
R313 c10 b1068 m8870.5 rW
R314 c9 b1332 m11006.5 rW
R315 c10 b1488 m12338.5 rU
R316 c10 b1668 m13826.5 rW
R317 c9 b1860 m15494.5 rL
R318 c10 b1644 m13634.5 rD
R319 c8 b1644 m13634.5 rS
R320 c9 b1548 m12812.5 rS
R321 c9 b1452 m12038.5 rL
R322 c10 b1272 m10586.5 rW
R323 c8 b1428 m11858.5 rB
R324 c10 b1260 m10430.5 rL
R325 c7 b1012 m9170.5 rW
R326 c10 b1224 m10182.5 rW
R327 c10 b1380 m11406.5 rU
R328 c10 b1536 m12786.5 rS
R329 c9 b1452 m12018.5 rU
R330 c9 b1620 m13470.5 rW
R331 c10 b1812 m15090.5 rU
R332 c10 b2040 m16902.5 rU
R333 c10 b2520 m20982.5 rU
R334 c10 b2832 m23502.5 rL
R335 c10 b2484 m20670.5 rS
R336 c8 b2340 m19428.5 rU
R337 c7 b2398 m21768.5 rW
R338 c6 b2662 m24166.5 rU
R339 c7 b2959 m26828.5 rW
R340 c10 b3576 m29787.5 rU
R341 c6 b3674 m33363.5 rJ
R342 c5 b3890 m38874.5 rL
R343 c5 b3500 m34984.5 rW
R344 c6 b4235 m38484.5 rU
R345 c10 b5136 m42719.5 rS
R346 c10 b4824 m40151.5 rL
R347 c10 b3672 m30503.5 rW
R348 c10 b4548 m37847.5 rJ
R349 c10 b5364 m44669.5 rL
R350 c10 b4080 m33941.5 rS
R351 c9 b3840 m31901.5 rL
R352 c10 b3372 m28061.5 rL
R353 c8 b2964 m24689.5 rL
R354 c10 b2616 m21725.5 rL
R355 c8 b2304 m19109.5 rW
R356 c7 b2365 m21413.5 rL
R357 c10 b2292 m19048.5 rL
R358 c10 b1740 m14464.5 rU
R359 c10 b2160 m17944.5 rS
R360 c9 b2028 m16864.5 rL
R361 c10 b1788 m14836.5 rU
R362 c10 b2004 m16624.5 rL
R363 c9 b1764 m14620.5 rU
R364 c9 b2184 m18148.5 rW
R365 c8 b2448 m20332.5 rB
R366 c8 b2148 m17884.5 rH
R367 c8 b1896 m15736.5 rU
R368 c10 b2124 m17632.5 rW
R369 c10 b2376 m19756.5 rL
R370 c10 b2088 m17380.5 rB
R371 c8 b1836 m15292.5 rU
R372 c10 b2064 m17128.5 rJ
R373 c10 b2436 m20224.5 rL
R374 c8 b2136 m17788.5 rD
R375 c10 b2136 m17788.5 rS
R376 c10 b2016 m16720.5 rW
R377 c10 b2256 m18736.5 rU
R378 c10 b2520 m20992.5 rB
R379 c10 b2220 m18472.5 rD
R380 c10 b2220 m18472.5 rW
R381 c10 b2484 m20692.5 rL
R382 c10 b2196 m18208.5 rH
R383 c6 b1771 m16012.5 rD
R384 c6 b1771 m16012.5 rW
R385 c4 b1780 m17783.5 rS
R386 c8 b2028 m16893.5 rD
R387 c10 b2028 m16893.5 rU
R388 c10 b2520 m20949.5 rU
R389 c9 b3120 m25989.5 rU
R390 c10 b3504 m29109.5 rL
R391 c7 b2827 m25605.5 rS
R392 c6 b2662 m24192.0 rL
R393 c10 b2592 m21530.0 rL
R394 c10 b2280 m18938.0 rL
R395 c10 b2004 m16658.0 rU
R396 c9 b2244 m18662.0 rD
R397 c8 b2244 m18662.0 rH
R398 c10 b1980 m16418.0 rU
R399 c10 b2208 m18398.0 rU
R400 c10 b2484 m20606.0 rW
R401 c10 b2772 m23090.0 rB
R402 c10 b2448 m20318.0 rB
R403 c9 b2148 m17870.0 rW
R404 c8 b2412 m20018.0 rU
R405 c5 b2250 m22430.0 rW
R406 c10 b2964 m24680.0 rL
R407 c10 b2616 m21716.0 rD
R408 c10 b2616 m21716.0 rU
R409 c7 b2684 m24332.0 rU
R410 c9 b3252 m27016.0 rW
R411 c7 b3333 m30268.0 rJ
R412 c6 b3883 m35268.0 rH
R413 c10 b3312 m27502.0 rW
R414 c8 b3708 m30814.0 rL
R415 c8 b3264 m27106.0 rL
R416 c10 b2868 m23842.0 rL
R417 c9 b2520 m20974.0 rW
R418 c8 b2820 m23494.0 rU
R419 c10 b3168 m26314.0 rW
R420 c10 b3540 m29482.0 rU
R421 c10 b3972 m33022.0 rS
R422 c9 b3732 m31036.0 rJ
R423 c8 b4404 m36634.0 rB
R424 c8 b3876 m32230.0 rL
R425 c10 b3408 m28354.0 rD
R426 c10 b3408 m28354.0 rU
R427 c10 b3816 m31762.0 rW
R428 c10 b4272 m35578.0 rJ
R429 c9 b5040 m41986.0 rH
R430 c8 b4440 m36946.0 rW
R431 c5 b4140 m41386.0 rH
R432 c5 b3730 m37246.0 rH
R433 c2 b3024 m33516.0 rB
R434 c2 b2745 m30492.0 rL
R435 c3 b2502 m27747.0 rL
R436 c2 b2052 m22743.0 rW
R437 c7 b2728 m24795.0 rL
R438 c10 b2652 m22067.0 rL
R439 c10 b2340 m19415.0 rU
R440 c7 b2398 m21755.0 rU
R441 c6 b2662 m24153.0 rU
R442 c9 b3228 m26815.0 rL
R443 c10 b2832 m23587.0 rH
R444 c10 b2160 m17923.0 rW
R445 c10 b2412 m20083.0 rL
R446 c9 b2124 m17671.0 rS
R447 c9 b2004 m16609.0 rW
R448 c8 b2244 m18613.0 rW
R449 c10 b2508 m20857.0 rS
R450 c9 b2364 m19603.0 rB
R451 c8 b2076 m17239.0 rH
R452 c10 b1824 m15163.0 rB
R453 c10 b1608 m13339.0 rS
R454 c8 b1512 m12535.0 rB
R455 c8 b1332 m11023.0 rU
R456 c5 b1240 m12355.0 rW
R457 c10 b1788 m14835.0 rU
R458 c10 b2004 m16623.0 rW
R459 c10 b2244 m18627.0 rS
R460 c10 b2112 m17505.0 rW
R461 c9 b2364 m19617.0 rS
R462 c8 b2220 m18435.0 rJ
R463 c7 b2398 m21765.0 rW
