============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: H
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rL
R2 c-1 b470 m9400 rB
R3 c0 b540 m8930 rD
R4 c0 b630 m8930 rU
R5 c0 b672 m9560 rH
R6 c0 b534 m8888 rH
R7 c0 b588 m8354 rD
R8 c0 b588 m8354 rB
R9 c0 b468 m7766 rD
R10 c0 b468 m7766 rD
R11 c0 b468 m7766 rL
R12 c0 b438 m7298 rU
R13 c1 b624 m7736 rH
R14 c0 b504 m7112 rH
R15 c1 b536 m6608 rD
R16 c0 b402 m6608 rW
R17 c1 b568 m7010 rB
R18 c0 b455 m6442 rW
R19 c0 b518 m7352 rB
R20 c0 b483 m6834 rW
R21 c0 b546 m7800 rL
R22 c0 b511 m7254 rD
R23 c-1 b365 m7254 rB
R24 c-2 b345 m6889 rB
R25 c-1 b330 m6544 rU
R26 c-2 b345 m6874 rW
R27 c-1 b365 m7219 rW
R28 c0 b456 m7584 rH
R29 c0 b504 m7128 rS
R30 c0 b414 m6876.0 rU
R31 c1 b584 m7290.0 rH
R32 c1 b544 m6706.0 rU
R33 c2 b702 m7794.0 rL
R34 c3 b639 m7092.0 rW
R35 c2 b624 m7731.0 rJ
R36 c2 b783 m8667.0 rH
R37 c2 b711 m7884.0 rU
R38 c2 b774 m8595.0 rL
R39 c1 b632 m7821.0 rU
R40 c0 b595 m8453.0 rU
R41 c0 b637 m9048.0 rB
R42 c2 b680 m8411.0 rU
R43 c1 b728 m9091.0 rL
R44 c2 b756 m8363.0 rU
R45 c2 b828 m9119.0 rB
R46 c2 b747 m8291.0 rB
R47 c2 b684 m7544.0 rB
R48 c2 b621 m6860.0 rU
R49 c1 b525 m7481.0 rU
R50 c0 b567 m8006.0 rD
R51 c1 b648 m8006.0 rH
R52 c1 b592 m7358.0 rL
R53 c2 b544 m6766.0 rW
R54 c1 b592 m7310.0 rH
R55 c3 b612 m6718.0 rL
R56 c2 b495 m5494.0 rL
R57 c1 b400 m4999.0 rB
R58 c0 b322 m4599.0 rW
R59 c0 b300 m4921.0 rU
R60 c-1 b265 m5221.0 rL
R61 c-1 b250 m4956.0 rL
R62 c-1 b240 m4706.0 rS
R63 c-2 b230 m4586.0 rW
R64 c-1 b245 m4816.0 rB
R65 c-1 b230 m4571.0 rD
R66 c-3 b184 m4571.0 rD
R67 c-5 b138 m4571.0 rD
R68 c-4 b138 m4571.0 rB
R69 c-4 b135 m4433.0 rW
R70 c-3 b192 m4703.0 rU
R71 c-2 b255 m5087.0 rW
R72 c-3 b216 m5342.0 rJ
R73 c-2 b285 m5666.0 rL
R74 c-3 b216 m5381.0 rU
R75 c-2 b280 m5597.0 rJ
R76 c-1 b305 m6017.0 rW
R77 c0 b384 m6322.0 rL
R78 c0 b360 m5938.0 rS
R79 c0 b348 m5758.0 rW
R80 c1 b496 m6106.0 rB
R81 c1 b456 m5610.0 rW
R82 c0 b366 m6066.0 rH
R83 c-1 b285 m5700.0 rW
R84 c-2 b300 m5985.0 rU
R85 c-1 b315 m6285.0 rU
R86 c-2 b330 m6600.0 rL
R87 c-2 b315 m6270.0 rL
R88 c-1 b285 m5640.0 rL
R89 c-1 b255 m5070.0 rL
R90 c0 b294 m4815.0 rD
R91 c0 b343 m4815.0 rL
R92 c2 b405 m4472.0 rL
R93 c1 b328 m4067.0 rH
R94 c0 b266 m3739.0 rW
R95 c1 b328 m4005.0 rL
R96 c0 b222 m3677.0 rW
R97 c0 b234 m3899.0 rJ
R98 c-1 b215 m4250.0 rH
R99 c0 b287 m4035.0 rL
R100 c1 b304 m3748.0 rW
R101 c1 b287 m4052.0 rU
R102 c2 b423 m4626.0 rL
R103 c4 b387 m4203.0 rJ
R104 c2 b432 m4784.0 rU
R105 c1 b424 m5216.0 rU
R106 c1 b456 m5640.0 rU
R107 c4 b549 m6096.0 rW
R108 c2 b536 m6645.0 rL
R109 c1 b434 m6109.0 rU
R110 c0 b396 m6543.0 rL
R111 c0 b372 m6147.0 rU
R112 c-1 b330 m6519.0 rD
R113 c-2 b330 m6519.0 rB
R114 c-2 b310 m6189.0 rB
R115 c-2 b295 m5879.0 rD
R116 c0 b354 m5879.0 rL
R117 c-1 b280 m5525.0 rU
R118 c0 b366 m6085.0 rH
R119 c-1 b290 m5719.0 rL
R120 c-2 b275 m5429.0 rD
R121 c-4 b165 m5429.0 rW
R122 c-5 b168 m5594.0 rB
R123 c-4 b165 m5426.0 rD
R124 c-4 b165 m5426.0 rH
R125 c-3 b212 m5261.0 rL
R126 c-1 b255 m5049.0 rL
R127 c0 b322 m4539.0 rW
R128 c1 b392 m4861.0 rL
R129 c0 b270 m4469.0 rW
R130 c-1 b240 m4739.0 rB
R131 c-2 b225 m4499.0 rU
R132 c0 b336 m4724.0 rU
R133 c0 b357 m5060.0 rH
R134 c0 b288 m4703.0 rU
R135 c1 b400 m4991.0 rU
R136 c0 b378 m5391.0 rW
R137 c0 b406 m5769.0 rL
R138 c0 b378 m5363.0 rL
R139 c1 b400 m4985.0 rU
R140 c2 b464 m5785.0 rL
R141 c4 b540 m5321.0 rB
R142 c3 b432 m4781.0 rW
R143 c3 b477 m5213.0 rW
R144 c2 b513 m5690.0 rS
R145 c1 b440 m5433.5 rB
R146 c1 b400 m4993.5 rU
R147 c1 b432 m5393.5 rU
R148 c1 b413 m5825.5 rH
R149 c1 b440 m5412.5 rB
R150 c2 b450 m4972.5 rW
R151 c0 b385 m5422.5 rB
R152 c0 b357 m5037.5 rJ
R153 c0 b392 m5573.5 rJ
R154 c0 b372 m6161.5 rB
R155 c0 b348 m5789.5 rL
R156 c0 b385 m5441.5 rS
R157 c0 b371 m5249.0 rL
R158 c2 b441 m4878.0 rW
R159 c1 b378 m5319.0 rS
R160 c0 b364 m5130.0 rJ
R161 c0 b399 m5676.0 rW
R162 c0 b366 m6075.0 rL
R163 c0 b348 m5709.0 rD
R164 c0 b406 m5709.0 rU
R165 c1 b434 m6115.0 rB
R166 c0 b342 m5681.0 rB
R167 c0 b324 m5339.0 rU
R168 c-1 b285 m5663.0 rB
R169 c-1 b270 m5378.0 rL
R170 c-2 b260 m5108.0 rJ
R171 c-2 b275 m5498.0 rB
R172 c-2 b265 m5223.0 rU
R173 c-2 b290 m5753.0 rU
R174 c-1 b320 m6333.0 rH
R175 c0 b399 m5693.0 rS
R176 c0 b385 m5493.5 rJ
R177 c-1 b305 m6071.5 rS
R178 c-1 b300 m5919.0 rD
R179 c-3 b240 m5919.0 rL
R180 c-2 b285 m5679.0 rU
R181 c-2 b300 m5964.0 rW
R182 c-3 b252 m6264.0 rL
R183 c-3 b244 m6012.0 rD
R184 c-2 b305 m6012.0 rL
R185 c-2 b290 m5707.0 rL
R186 c-2 b275 m5417.0 rD
R187 c-1 b275 m5417.0 rW
R188 c-1 b300 m5967.0 rD
R189 c-1 b300 m5967.0 rH
R190 c-1 b285 m5667.0 rL
R191 c0 b378 m5382.0 rS
R192 c0 b364 m5193.0 rL
R193 c1 b392 m4829.0 rU
R194 c0 b371 m5221.0 rD
R195 c-1 b265 m5221.0 rU
R196 c0 b330 m5486.0 rU
R197 c0 b354 m5816.0 rJ
R198 c0 b448 m6347.0 rB
R199 c0 b354 m5899.0 rL
R200 c0 b392 m5545.0 rL
R201 c2 b432 m4761.0 rW
R202 c1 b364 m5193.0 rU
R203 c0 b336 m5557.0 rL
R204 c0 b371 m5221.0 rD
R205 c0 b371 m5221.0 rL
R206 c1 b315 m4479.0 rL
R207 c0 b294 m4164.0 rH
R208 c1 b273 m3870.0 rW
R209 c1 b360 m4416.0 rU
R210 c1 b384 m4776.0 rB
R211 c1 b352 m4392.0 rB
R212 c1 b328 m4040.0 rW
R213 c0 b264 m4368.0 rL
R214 c0 b252 m4104.0 rL
R215 c-2 b195 m3852.0 rL
R216 c-1 b185 m3657.0 rW
R217 c0 b234 m3842.0 rB
R218 c-1 b185 m3608.0 rD
R219 c0 b222 m3608.0 rL
R220 c0 b204 m3386.0 rL
R221 c1 b256 m3182.0 rW
R222 c0 b210 m3438.0 rL
R223 c2 b279 m3018.0 rU
R224 c2 b324 m3576.0 rW
R225 c1 b312 m3900.0 rL
R226 c0 b216 m3588.0 rU
R227 c0 b287 m4020.0 rU
R228 c1 b308 m4307.0 rH
R229 c1 b259 m3691.0 rU
R230 c1 b320 m3950.0 rH
R231 c2 b333 m3630.0 rB
R232 c1 b264 m3297.0 rL
R233 c0 b186 m3033.0 rS
R234 c0 b180 m2940.0 rU
R235 c-1 b160 m3120.0 rW
R236 c-1 b165 m3280.0 rL
R237 c0 b210 m2950.0 rL
R238 c1 b196 m2740.0 rB
R239 c0 b156 m2544.0 rU
R240 c-1 b135 m2700.0 rL
R241 c0 b156 m2565.0 rU
R242 c0 b168 m2721.0 rH
R243 c3 b234 m2553.0 rJ
R244 c2 b270 m2904.0 rW
R245 c1 b224 m3174.0 rU
R246 c1 b296 m3622.0 rU
R247 c1 b320 m3918.0 rU
R248 c1 b344 m4238.0 rH
R249 c0 b273 m3894.0 rU
R250 c0 b294 m4167.0 rH
R251 c0 b273 m3873.0 rL
R252 c0 b252 m3600.0 rD
R253 c0 b252 m3600.0 rS
R254 c0 b210 m3474.0 rW
R255 c-1 b185 m3684.0 rU
R256 c-1 b195 m3869.0 rH
R257 c-1 b185 m3674.0 rL
R258 c-2 b175 m3489.0 rD
