============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: K
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rB
R2 c-1 b470 m9400 rL
R3 c0 b510 m8460 rJ
R4 c-1 b465 m9225 rU
R5 c0 b582 m9690 rW
R6 c1 b763 m10854 rL
R7 c1 b707 m10091 rW
R8 c0 b756 m10798 rW
R9 c0 b812 m11554 rL
R10 c0 b756 m10742 rU
R11 c1 b805 m11498 rU
R12 c1 b868 m12303 rD
R13 c0 b868 m12303 rU
R14 c0 b924 m13171 rU
R15 c0 b987 m14095 rS
R16 c0 b822 m13601.5 rW
R17 c0 b870 m14423.5 rW
R18 c-1 b765 m15293.5 rS
R19 c-1 b750 m14911.0 rH
R20 c0 b852 m14161.0 rW
R21 c-1 b755 m15013.0 rU
R22 c-1 b790 m15768.0 rB
R23 c0 b900 m14978.0 rH
R24 c0 b846 m14078.0 rD
R25 c1 b987 m14078.0 rL
R26 c1 b917 m13091.0 rU
R27 c2 b1128 m14008.0 rH
R28 c1 b1032 m12880.0 rU
R29 c3 b1350 m14944.0 rU
R30 c3 b1467 m16294.0 rW
R31 c2 b1424 m17761.0 rH
R32 c1 b1312 m16337.0 rD
R33 c1 b1148 m16337.0 rU
R34 c1 b1225 m17485.0 rL
R35 c0 b1141 m16260.0 rU
R36 c0 b1050 m17401.0 rL
R37 c1 b1312 m16351.0 rW
R38 c1 b1239 m17663.0 rU
R39 c0 b1140 m18902.0 rU
R40 c0 b1407 m20042.0 rJ
R41 c0 b1332 m22153.0 rB
R42 c0 b1254 m20821.0 rH
R43 c-1 b980 m19567.0 rL
R44 c0 b1116 m18587.0 rB
R45 c-1 b875 m17471.0 rB
R46 c-2 b830 m16596.0 rU
R47 c-2 b875 m17426.0 rB
R48 c-3 b664 m16551.0 rB
R49 c-4 b477 m15887.0 rS
R50 c-4 b471 m15648.5 rH
R51 c-4 b456 m15177.5 rW
R52 c-3 b628 m15633.5 rW
R53 c-3 b676 m16889.5 rB
R54 c-3 b652 m16213.5 rL
R55 c-4 b468 m15561.5 rH
R56 c-2 b755 m15093.5 rD
R57 c-1 b755 m15093.5 rH
R58 c-1 b680 m13583.5 rJ
R59 c-2 b735 m14603.5 rH
R60 c-1 b695 m13868.5 rL
R61 c0 b924 m13173.5 rL
R62 c0 b684 m11325.5 rL
R63 c0 b749 m10641.5 rL
R64 c0 b693 m9892.5 rH
R65 c1 b644 m9199.5 rB
R66 c0 b516 m8555.5 rB
R67 c0 b486 m8039.5 rW
R68 c-1 b430 m8525.5 rU
R69 c1 b630 m8955.5 rW
R70 c1 b672 m9585.5 rL
R71 c0 b540 m8913.5 rW
R72 c-1 b475 m9453.5 rU
R73 c0 b630 m10403.5 rW
R74 c0 b666 m11033.5 rS
R75 c-1 b540 m10700.5 rH
R76 c-1 b485 m9620.5 rW
R77 c-1 b510 m10105.5 rH
R78 c0 b576 m9595.5 rU
R79 c0 b612 m10171.5 rW
R80 c-1 b540 m10783.5 rL
R81 c1 b784 m9703.5 rL
R82 c0 b540 m8919.5 rL
R83 c0 b588 m8379.5 rU
R84 c0 b630 m8967.5 rB
R85 c1 b588 m8337.5 rW
R86 c0 b540 m8925.5 rB
R87 c0 b504 m8385.5 rB
R88 c0 b474 m7881.5 rW
R89 c0 b504 m8355.5 rL
R90 c1 b518 m7347.5 rD
R91 c1 b592 m7347.5 rW
R92 c1 b640 m7939.5 rL
R93 c2 b536 m6659.5 rU
R94 c1 b576 m7195.5 rU
R95 c2 b624 m7771.5 rD
R96 c4 b702 m7771.5 rJ
R97 c4 b801 m8824.5 rJ
R98 c3 b909 m10026.5 rU
R99 c3 b990 m10935.5 rW
R100 c3 b1080 m11925.5 rW
R101 c2 b1179 m13005.5 rW
R102 c0 b994 m14184.5 rU
R103 c-1 b760 m15178.5 rB
R104 c-2 b725 m14418.5 rL
R105 c-4 b411 m13693.5 rW
R106 c-5 b426 m14104.5 rB
R107 c-4 b411 m13678.5 rU
R108 c-5 b423 m14089.5 rW
R109 c-6 b292 m14512.5 rU
R110 c-6 b302 m15096.5 rB
R111 c-7 b296 m14794.5 rJ
R112 c-6 b306 m15238.5 rU
R113 c-5 b468 m15544.5 rU
R114 c-4 b483 m16012.5 rU
R115 c-5 b495 m16495.5 rD
R116 c-3 b660 m16495.5 rS
R117 c-3 b648 m16165.5 rW
R118 c0 b1014 m16813.5 rW
R119 c0 b1074 m17827.5 rW
R120 c0 b1140 m18901.5 rL
R121 c0 b1068 m17761.5 rU
R122 c0 b1323 m18829.5 rU
R123 c2 b1818 m20152.5 rW
R124 c3 b1980 m21970.5 rU
R125 c3 b2340 m25930.5 rU
R126 c1 b2264 m28270.5 rL
R127 c2 b2088 m26006.5 rL
R128 c1 b1920 m23918.5 rU
R129 c1 b1813 m25838.5 rL
R130 c1 b1928 m24025.5 rU
R131 c1 b1820 m25953.5 rL
R132 c0 b1568 m22313.5 rD
R133 c0 b1344 m22313.5 rL
R134 c0 b1260 m20969.5 rB
R135 c1 b1386 m19709.5 rL
R136 c2 b1656 m18323.5 rW
R137 c1 b1400 m19979.5 rL
R138 c2 b1488 m18579.5 rB
