============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: L
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rB
R2 c0 b564 m9400 rL
R3 c1 b712 m8836 rL
R4 c2 b656 m8124 rW
R5 c0 b616 m8780 rL
R6 c0 b574 m8164 rL
R7 c0 b532 m7590 rS
R8 c0 b518 m7324.0 rW
R9 c1 b553 m7842.0 rU
R10 c0 b588 m8395.0 rU
R11 c1 b672 m9571.0 rS
R12 c0 b651 m9235.0 rU
R13 c1 b792 m9886.0 rB
R14 c1 b637 m9094.0 rB
R15 c0 b595 m8457.0 rW
R16 c-1 b455 m9052.0 rU
R17 c1 b768 m9507.0 rH
R18 c1 b704 m8739.0 rL
R19 c0 b486 m8035.0 rJ
R20 c0 b528 m8764.0 rW
R21 c-1 b465 m9292.0 rD
R22 c-1 b465 m9292.0 rH
R23 c-1 b445 m8827.0 rU
R24 c-1 b465 m9272.0 rH
R25 c1 b623 m8807.0 rU
R26 c2 b808 m10053.0 rU
R27 c3 b981 m10861.0 rU
R28 c3 b1071 m11842.0 rW
R29 c3 b1170 m12913.0 rB
R30 c3 b1062 m11743.0 rH
R31 c1 b856 m10681.0 rS
R32 c1 b824 m10253.0 rS
R33 c1 b792 m9841.0 rS
R34 c1 b665 m9445.0 rL
R35 c2 b704 m8780.0 rJ
R36 c1 b693 m9836.0 rU
R37 c0 b742 m10529.0 rD
R38 c0 b742 m10529.0 rU
R39 c0 b678 m11271.0 rL
R40 c-1 b530 m10593.0 rB
R41 c0 b606 m10063.0 rU
R42 c-1 b535 m10669.0 rW
R43 c-1 b590 m11739.0 rH
R44 c-1 b530 m10559.0 rU
R45 c-1 b555 m11089.0 rL
R46 c-1 b530 m10534.0 rU
R47 c0 b666 m11064.0 rW
R48 c-1 b590 m11730.0 rB
R49 c0 b672 m11140.0 rL
R50 c0 b735 m10468.0 rU
R51 c1 b904 m11203.0 rU
R52 c0 b732 m12107.0 rU
R53 c-1 b645 m12839.0 rL
R54 c1 b976 m12194.0 rB
R55 c1 b791 m11218.0 rU
R56 c1 b847 m12009.0 rW
R57 c1 b1104 m13703.0 rL
R58 c0 b882 m12599.0 rH
R59 c0 b654 m10835.0 rB
R60 c0 b612 m10181.0 rU
R61 c-1 b540 m10793.0 rJ
R62 c-2 b585 m11603.0 rW
R63 c-2 b610 m12188.0 rL
R64 c-2 b580 m11578.0 rU
R65 c-1 b610 m12158.0 rL
R66 c0 b696 m11548.0 rW
R67 c-1 b615 m12244.0 rW
R68 c-1 b645 m12859.0 rU
R69 c-1 b710 m14149.0 rH
R70 c-1 b675 m13439.0 rL
R71 c-1 b640 m12764.0 rU
R72 c0 b810 m13404.0 rU
R73 c2 b1359 m15024.0 rU
R74 c2 b1312 m16383.0 rU
R75 c1 b1416 m17695.0 rJ
R76 c2 b1791 m19819.0 rJ
R77 c2 b1808 m22506.0 rD
R78 c1 b1808 m22506.0 rU
R79 c1 b1708 m24314.0 rD
R80 c2 b1952 m24314.0 rL
R81 c3 b2016 m22362.0 rS
R82 c2 b1926 m21354.0 rL
R83 c3 b1755 m19428.0 rH
R84 c2 b1416 m17673.0 rW
R85 c2 b1854 m20505.0 rH
R86 c3 b1683 m18651.0 rU
R87 c3 b1989 m22017.0 rD
R88 c3 b1989 m22017.0 rJ
R89 c3 b2259 m25001.0 rD
R90 c1 b1757 m25001.0 rB
R91 c2 b2097 m23244.0 rH
R92 c0 b1484 m21147.0 rH
R93 c0 b1379 m19663.0 rL
R94 c1 b1464 m18284.0 rW
R95 c0 b1188 m19748.0 rU
R96 c0 b1260 m20936.0 rL
R97 c1 b1379 m19676.0 rH
R98 c1 b1464 m18297.0 rW
R99 c0 b1386 m19761.0 rD
R100 c0 b1386 m19761.0 rW
R101 c1 b1582 m22533.0 rB
R102 c1 b1470 m20951.0 rU
R103 c0 b1575 m22421.0 rW
R104 c0 b1440 m23996.0 rL
R105 c1 b1808 m22556.0 rH
R106 c0 b1248 m20748.0 rU
R107 c1 b1540 m21996.0 rL
R108 c0 b1230 m20456.0 rW
R109 c0 b1302 m21686.0 rH
R110 c-1 b1020 m20384.0 rL
R111 c-1 b970 m19364.0 rU
R112 c-2 b1020 m20334.0 rL
R113 c-1 b970 m19314.0 rB
R114 c-1 b920 m18344.0 rB
R115 c-2 b875 m17424.0 rU
R116 c-1 b960 m19174.0 rU
R117 c0 b1212 m20134.0 rL
R118 c2 b1520 m18922.0 rW
R119 c4 b1845 m20442.0 rW
R120 c1 b1784 m22287.0 rD
R121 c0 b1338 m22287.0 rU
R122 c-1 b1185 m23625.0 rW
R123 c-1 b1245 m24810.0 rU
R124 c-2 b1305 m26055.0 rW
R125 c0 b1918 m27360.0 rU
R126 c0 b2051 m29278.0 rL
R127 c-1 b1365 m27227.0 rL
R128 c0 b1554 m25862.0 rL
R129 c0 b1596 m22754.0 rW
R130 c0 b1464 m24350.0 rH
R131 c1 b1603 m22886.0 rU
R132 c0 b1827 m26092.0 rJ
R133 c0 b1734 m28833.0 rD
R134 c-2 b1445 m28833.0 rL
R135 c-2 b1370 m27388.0 rU
R136 c-2 b1440 m28758.0 rB
R137 c-2 b1370 m27318.0 rL
R138 c-2 b1230 m24578.0 rU
R139 c0 b1626 m27038.0 rB
R140 c-1 b1275 m25412.0 rU
R141 c-2 b1335 m26687.0 rH
R142 c-3 b1016 m25352.0 rU
R143 c-3 b1056 m26368.0 rL
R144 c-3 b1016 m25312.0 rU
R145 c-4 b792 m26328.0 rL
R146 c-2 b1280 m25536.0 rL
R147 c-3 b972 m24256.0 rL
R148 c-1 b1165 m23284.0 rB
R149 c-1 b1110 m22119.0 rW
R150 c0 b1398 m23229.0 rL
R151 c1 b1435 m20433.0 rS
R152 c0 b1386 m19715.5 rU
R153 c0 b1272 m21101.5 rL
R154 c0 b1194 m19829.5 rH
R155 c0 b1122 m18635.5 rL
R156 c1 b1232 m17513.5 rW
R157 c0 b1128 m18745.5 rW
R158 c-1 b995 m19873.5 rL
R159 c-3 b756 m18878.5 rH
R160 c-3 b728 m18122.5 rB
R161 c-2 b870 m17394.5 rH
R162 c-2 b785 m15654.5 rW
R163 c-1 b825 m16439.5 rH
R164 c-1 b785 m15614.5 rL
R165 c0 b894 m14829.5 rL
R166 c0 b840 m13935.5 rU
R167 c0 b888 m14775.5 rB
R168 c0 b834 m13887.5 rD
R169 c-2 b695 m13887.5 rU
R170 c-2 b730 m14582.5 rL
R171 c-1 b695 m13852.5 rB
R172 c0 b792 m13157.5 rU
R173 c-1 b700 m13949.5 rL
R174 c0 b798 m13249.5 rH
R175 c0 b750 m12451.5 rH
R176 c1 b944 m11701.5 rU
R177 c2 b1088 m13589.5 rB
R178 c1 b1008 m12501.5 rU
R179 c1 b1088 m13509.5 rS
R180 c1 b910 m12965.5 rH
R181 c1 b968 m12055.5 rU
R182 c0 b786 m13023.5 rS
R183 c0 b762 m12630.5 rU
R184 c0 b804 m13392.5 rS
R185 c-1 b650 m12990.5 rS
R186 c-1 b635 m12665.5 rS
R187 c-2 b620 m12348.0 rJ
R188 c-3 b532 m13278.0 rJ
R189 c-3 b564 m14076.0 rW
R190 c-1 b765 m15204.0 rL
R191 c0 b822 m13674.0 rL
R192 c0 b774 m12852.0 rD
R193 c1 b903 m12852.0 rL
R194 c2 b999 m11046.0 rU
R195 c2 b1089 m12045.0 rL
R196 c3 b990 m10956.0 rU
R197 c2 b960 m11946.0 rL
R198 c2 b808 m10026.0 rD
R199 c4 b909 m10026.0 rW
R200 c3 b990 m10935.0 rU
R201 c4 b1200 m11925.0 rW
R202 c3 b1188 m13125.0 rH
R203 c2 b1080 m11937.0 rB
R204 c2 b872 m10857.0 rU
R205 c1 b826 m11729.0 rS
R206 c1 b912 m11316.0 rH
R207 c1 b840 m10404.0 rH
R208 c-1 b480 m9564.0 rD
R209 c-1 b480 m9564.0 rL
R210 c-1 b455 m9084.0 rL
R211 c-2 b435 m8629.0 rL
R212 c0 b492 m8194.0 rW
R213 c-1 b435 m8686.0 rW
R214 c-1 b460 m9121.0 rS
R215 c-2 b445 m8891.0 rL
R216 c0 b510 m8446.0 rB
R217 c0 b560 m7936.0 rB
R218 c0 b444 m7376.0 rL
R219 c0 b490 m6932.0 rH
R220 c0 b390 m6442.0 rU
R221 c0 b483 m6832.0 rU
R222 c0 b444 m7315.0 rL
R223 c0 b414 m6871.0 rL
R224 c0 b390 m6457.0 rB
R225 c0 b366 m6067.0 rH
R226 c-2 b290 m5701.0 rS
R227 c-2 b280 m5556.0 rU
R228 c-2 b295 m5836.0 rB
R229 c-2 b280 m5541.0 rU
R230 c-1 b295 m5821.0 rU
R231 c-1 b310 m6116.0 rB
R232 c-1 b295 m5806.0 rU
R233 c-1 b310 m6101.0 rW
R234 c-2 b325 m6411.0 rW
R235 c-3 b272 m6736.0 rW
R236 c-2 b365 m7280.0 rL
R237 c-1 b350 m6915.0 rL
R238 c0 b396 m6565.0 rW
R239 c-1 b350 m6961.0 rL
R240 c-1 b315 m6261.0 rH
R241 c0 b360 m5946.0 rL
R242 c0 b392 m5586.0 rW
R243 c0 b360 m5978.0 rU
R244 c-2 b320 m6338.0 rW
R245 c0 b420 m6978.0 rB
R246 c0 b396 m6558.0 rL
R247 c1 b434 m6162.0 rS
R248 c1 b420 m5945.0 rB
R249 c1 b392 m5525.0 rU
R250 c0 b360 m5917.0 rW
R251 c-1 b315 m6277.0 rD
R252 c-1 b315 m6277.0 rB
R253 c0 b360 m5962.0 rW
R254 c-1 b320 m6322.0 rB
R255 c-2 b305 m6002.0 rW
R256 c-1 b320 m6307.0 rL
R257 c0 b360 m5987.0 rL
R258 c0 b342 m5627.0 rU
R259 c0 b384 m6311.0 rH
R260 c0 b360 m5927.0 rB
R261 c0 b336 m5567.0 rL
R262 c1 b371 m5231.0 rS
R263 c0 b357 m5045.5 rH
R264 c0 b282 m4688.5 rS
R265 c0 b276 m4547.5 rH
R266 c-1 b215 m4271.5 rW
R267 c-1 b225 m4486.5 rU
R268 c0 b288 m4711.5 rL
R269 c1 b294 m4135.5 rL
R270 c1 b273 m3841.5 rS
R271 c0 b266 m3705.0 rL
R272 c0 b210 m3439.0 rL
R273 c-1 b165 m3229.0 rU
R274 c-1 b170 m3394.0 rU
R275 c-2 b180 m3564.0 rH
R276 c-1 b165 m3204.0 rB
R277 c-1 b155 m3039.0 rH
R278 c-1 b145 m2884.0 rS
R279 c-1 b145 m2811.5 rB
R280 c-2 b135 m2666.5 rD
R281 c-3 b108 m2666.5 rW
R282 c-4 b84 m2774.5 rS
R283 c-4 b84 m2732.5 rW
R284 c-4 b87 m2816.5 rW
R285 c-3 b120 m2903.5 rW
R286 c-3 b124 m3023.5 rL
R287 c-2 b145 m2899.5 rS
R288 c-1 b145 m2827.0 rL
R289 c-2 b135 m2682.0 rL
R290 c-1 b130 m2547.0 rL
R291 c0 b150 m2417.0 rL
R292 c-2 b115 m2267.0 rL
R293 c-1 b110 m2152.0 rW
R294 c0 b144 m2372.0 rJ
R295 c-1 b130 m2588.0 rL
R296 c-1 b125 m2458.0 rJ
R297 c-2 b135 m2646.0 rU
R298 c-1 b150 m2916.0 rH
R299 c-1 b140 m2766.0 rL
R300 c0 b150 m2486.0 rW
R301 c-1 b135 m2636.0 rH
R302 c0 b156 m2501.0 rU
R303 c-1 b135 m2657.0 rU
R304 c-1 b140 m2792.0 rH
R305 c-1 b135 m2652.0 rD
R306 c-2 b135 m2652.0 rL
R307 c-1 b130 m2517.0 rH
R308 c1 b168 m2387.0 rD
R309 c0 b168 m2387.0 rL
R310 c0 b138 m2219.0 rS
R311 c0 b132 m2150.0 rH
R312 c0 b126 m2018.0 rW
R313 c-1 b110 m2144.0 rH
R314 c0 b126 m2034.0 rL
R315 c1 b160 m1908.0 rS
R316 c2 b152 m1828.0 rW
R317 c2 b160 m1980.0 rU
R318 c2 b207 m2300.0 rL
R319 c1 b168 m2093.0 rH
R320 c0 b126 m1757.0 rW
R321 c2 b168 m2009.0 rJ
R322 c2 b207 m2261.0 rS
R323 c3 b198 m2157.5 rW
R324 c1 b168 m2355.5 rU
R325 c1 b182 m2523.5 rU
R326 c2 b224 m2705.5 rW
R327 c2 b270 m2929.5 rD
R328 c2 b270 m2929.5 rL
R329 c1 b189 m2659.5 rS
R330 c0 b182 m2565.0 rW
R331 c1 b210 m2929.0 rU
R332 c0 b192 m3139.0 rL
R333 c0 b180 m2947.0 rW
R334 c-1 b160 m3127.0 rB
R335 c-2 b150 m2967.0 rJ
R336 c-1 b160 m3192.0 rU
R337 c0 b216 m3512.0 rS
R338 c-1 b175 m3404.0 rL
R339 c-1 b165 m3229.0 rL
R340 c-1 b155 m3064.0 rU
R341 c-1 b165 m3219.0 rH
R342 c0 b186 m3054.0 rL
R343 c0 b174 m2868.0 rL
R344 c-2 b135 m2694.0 rL
R345 c-1 b130 m2559.0 rU
R346 c-1 b145 m2819.0 rB
R347 c-1 b135 m2674.0 rJ
R348 c-2 b145 m2877.0 rU
R349 c0 b186 m3022.0 rU
R350 c0 b198 m3208.0 rU
R351 c0 b210 m3406.0 rL
R352 c0 b192 m3196.0 rW
R353 c1 b272 m3388.0 rB
R354 c0 b224 m3116.0 rU
R355 c-1 b170 m3340.0 rS
R356 c0 b198 m3255.0 rU
R357 c0 b259 m3651.0 rD
R358 c0 b259 m3651.0 rU
R359 c0 b280 m3910.0 rW
R360 c1 b294 m4190.0 rU
R361 c1 b315 m4484.0 rB
R362 c0 b252 m4169.0 rS
R363 c0 b246 m4043.0 rJ
R364 c0 b270 m4412.0 rJ
R365 c-1 b245 m4817.0 rH
R366 c-1 b230 m4572.0 rU
R367 c-1 b245 m4802.0 rL
R368 c-1 b230 m4557.0 rH
R369 c0 b308 m4327.0 rU
R370 c0 b329 m4635.0 rJ
R371 c-1 b260 m5129.0 rW
R372 c0 b399 m5649.0 rU
R373 c0 b427 m6048.0 rU
R374 c0 b390 m6475.0 rW
R375 c0 b414 m6865.0 rL
R376 c1 b520 m6451.0 rW
R377 c2 b600 m7491.0 rS
R378 c1 b576 m7191.0 rL
R379 c1 b488 m6039.0 rU
R380 c2 b568 m7015.0 rW
R381 c1 b608 m7583.0 rW
R382 c2 b656 m8191.0 rW
R383 c2 b801 m8847.0 rL
R384 c1 b648 m8046.0 rU
R385 c1 b696 m8694.0 rH
R386 c2 b666 m7302.0 rU
R387 c2 b640 m7968.0 rL
R388 c2 b666 m7328.0 rJ
R389 c1 b588 m8327.0 rW
R390 c0 b630 m8915.0 rD
R391 c0 b540 m8915.0 rL
R392 c0 b504 m8375.0 rH
R393 c1 b632 m7871.0 rU
R394 c2 b828 m9135.0 rW
R395 c2 b800 m9963.0 rW
R396 c1 b864 m10763.0 rD
R397 c3 b972 m10763.0 rD
R398 c3 b972 m10763.0 rH
R399 c2 b784 m9791.0 rB
R400 c1 b637 m9007.0 rJ
R401 c0 b600 m9963.0 rW
R402 c0 b784 m11163.0 rH
R403 c1 b832 m10379.0 rL
R404 c0 b672 m9547.0 rU
R405 c0 b618 m10219.0 rH
R406 c0 b582 m9601.0 rU
R407 c0 b612 m10183.0 rD
R408 c1 b714 m10183.0 rW
R409 c2 b872 m10897.0 rJ
R410 c1 b984 m12205.0 rW
R411 c1 b924 m13189.0 rJ
R412 c0 b876 m14575.0 rL
R413 c1 b959 m13699.0 rD
R414 c1 b1096 m13699.0 rJ
R415 c1 b1078 m15343.0 rB
R416 c0 b1001 m14265.0 rS
R417 c1 b966 m13764.5 rW
R418 c0 b888 m14730.5 rB
R419 c-1 b695 m13842.5 rL
R420 c-2 b660 m13147.5 rL
R421 c-1 b625 m12487.5 rD
R422 c-1 b625 m12487.5 rU
R423 c-1 b660 m13112.5 rL
R424 c0 b750 m12452.5 rW
R425 c0 b798 m13202.5 rD
R426 c0 b798 m13202.5 rD
R427 c0 b931 m13202.5 rW
R428 c0 b852 m14133.5 rB
R429 c0 b798 m13281.5 rL
R430 c0 b702 m11685.5 rL
R431 c1 b770 m10983.5 rW
R432 c1 b826 m11753.5 rL
R433 c0 b660 m10927.5 rL
R434 c0 b618 m10267.5 rL
R435 c0 b679 m9649.5 rL
R436 c1 b720 m8970.5 rU
R437 c1 b776 m9690.5 rW
R438 c1 b840 m10466.5 rD
R439 c0 b735 m10466.5 rL
R440 c1 b784 m9731.5 rW
R441 c0 b636 m10515.5 rL
R442 c0 b693 m9879.5 rU
R443 c0 b636 m10572.5 rJ
R444 c-1 b580 m11526.5 rB
R445 c-2 b550 m10946.5 rL
R446 c0 b624 m10396.5 rS
R447 c0 b606 m10084.5 rU
R448 c0 b678 m11296.5 rD
R449 c-1 b565 m11296.5 rU
R450 c0 b714 m11861.5 rH
R451 c0 b672 m11147.5 rW
R452 c-1 b595 m11819.5 rJ
R453 c-1 b640 m12712.5 rB
R454 c-1 b605 m12072.5 rU
R455 c-1 b635 m12677.5 rU
R456 c-2 b670 m13312.5 rU
R457 c-3 b560 m13982.5 rW
R458 c-2 b730 m14542.5 rL
R459 c0 b834 m13812.5 rU
R460 c-1 b735 m14646.5 rU
R461 c-1 b770 m15381.5 rH
R462 c-2 b735 m14611.5 rL
R463 c0 b834 m13876.5 rL
R464 c0 b917 m13042.5 rH
R465 c-1 b610 m12125.5 rS
R466 c0 b714 m11820.5 rH
R467 c0 b672 m11106.5 rU
R468 c0 b875 m12450.5 rU
R469 c-1 b670 m13325.5 rH
R470 c-1 b635 m12655.5 rL
R471 c0 b847 m12020.5 rL
R472 c1 b896 m11173.5 rB
R473 c0 b721 m10277.5 rU
R474 c0 b660 m10998.5 rS
R475 c-1 b535 m10668.5 rS
R476 c-1 b525 m10401.0 rL
R477 c-2 b470 m9351.0 rW
R478 c-4 b297 m9821.0 rL
R479 c-2 b480 m9524.0 rH
R480 c-4 b273 m9044.0 rL
R481 c-3 b352 m8771.0 rU
R482 c-4 b276 m9123.0 rB
R483 c-4 b267 m8847.0 rW
R484 c-6 b184 m9114.0 rU
R485 c-5 b279 m9298.0 rL
R486 c-6 b182 m9019.0 rU
R487 c-5 b279 m9201.0 rW
R488 c-2 b490 m9759.0 rL
R489 c0 b616 m8779.0 rW
R490 c-1 b470 m9395.0 rU
R491 c0 b624 m10335.0 rU
R492 c1 b770 m10959.0 rJ
R493 c0 b732 m12114.0 rL
R494 c-1 b570 m11382.0 rH
R495 c-2 b545 m10812.0 rS
R496 c-2 b530 m10539.5 rH
R497 c-3 b404 m10009.5 rW
R498 c-3 b420 m10413.5 rS
R499 c-3 b412 m10203.5 rS
R500 c-2 b500 m9997.5 rU
R501 c-1 b525 m10497.5 rW
R502 c-1 b555 m11022.5 rS
R503 c-1 b540 m10745.0 rL
R504 c-1 b515 m10205.0 rH
R505 c-2 b485 m9690.0 rS
R506 c-1 b475 m9447.5 rW
R507 c-2 b500 m9922.5 rJ
R508 c-4 b321 m10672.5 rW
R509 c-4 b330 m10993.5 rS
R510 c-3 b436 m10828.5 rU
R511 c-1 b565 m11264.5 rJ
R512 c0 b732 m12112.5 rL
R513 c-2 b570 m11380.5 rH
R514 c-1 b545 m10810.5 rL
R515 c-1 b515 m10265.5 rH
R516 c-2 b490 m9750.5 rW
R517 c-3 b412 m10240.5 rW
R518 c-2 b535 m10652.5 rW
R519 c-4 b336 m11187.5 rL
R520 c-4 b327 m10851.5 rW
R521 c-3 b448 m11178.5 rW
R522 c-3 b468 m11626.5 rH
R523 c-3 b448 m11158.5 rL
R524 c-3 b432 m10710.5 rD
R525 c-3 b432 m10710.5 rU
R526 c-3 b448 m11142.5 rH
R527 c-2 b535 m10694.5 rU
R528 c-2 b565 m11229.5 rU
R529 c-1 b620 m12359.5 rB
R530 c-1 b590 m11739.5 rL
R531 c-1 b560 m11149.5 rS
R532 c-1 b545 m10869.5 rU
R533 c-2 b575 m11414.5 rL
R534 c-1 b545 m10839.5 rU
R535 c-1 b570 m11384.5 rW
R536 c-2 b600 m11954.5 rJ
R537 c-2 b645 m12854.5 rL
R538 c0 b812 m11564.5 rD
R539 c0 b696 m11564.5 rL
R540 c1 b763 m10868.5 rH
R541 c0 b612 m10105.5 rU
R542 c1 b864 m10717.5 rW
R543 c1 b812 m11581.5 rB
R544 c0 b756 m10769.5 rJ
R545 c-1 b600 m11903.5 rL
R546 c-2 b570 m11303.5 rS
R547 c-2 b555 m11018.5 rL
R548 c-3 b420 m10463.5 rH
R549 c-1 b505 m10043.5 rB
R550 c-1 b480 m9538.5 rW
R551 c-2 b505 m10018.5 rW
R552 c-2 b555 m11028.5 rL
R553 c-1 b525 m10473.5 rU
R554 c0 b660 m10998.5 rU
R555 c0 b702 m11658.5 rL
R556 c1 b880 m10956.5 rW
R557 c1 b833 m11836.5 rH
R558 c2 b999 m11003.5 rW
R559 c2 b968 m12002.5 rU
R560 c1 b910 m12970.5 rB
R561 c0 b847 m12060.5 rB
R562 c2 b904 m11213.5 rU
R563 c3 b1098 m12117.5 rU
R564 c1 b1064 m13215.5 rD
R565 c1 b931 m13215.5 rW
R566 c0 b852 m14146.5 rS
R567 c0 b828 m13720.5 rW
R568 c-1 b730 m14548.5 rW
R569 c0 b918 m15278.5 rW
R570 c-1 b810 m16196.5 rH
R571 c0 b924 m15386.5 rJ
R572 c-2 b840 m16772.5 rL
R573 c1 b1120 m15932.5 rB
R574 c0 b894 m14812.5 rJ
R575 c0 b972 m16153.5 rB
R576 c-1 b760 m15181.5 rU
R577 c0 b960 m15941.5 rU
R578 c0 b1190 m16901.5 rD
