============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: O
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rU
R2 c0 b636 m10600 rU
R3 c1 b791 m11236 rS
R4 c0 b654 m10840.5 rW
R5 c-3 b460 m11494.5 rH
R6 c-5 b318 m10574.5 rL
R7 c-7 b206 m10256.5 rU
R8 c-6 b210 m10462.5 rB
R9 c-6 b206 m10252.5 rW
R10 c-4 b321 m10664.5 rW
R11 c-3 b440 m10985.5 rL
R12 c0 b636 m10545.5 rB
R13 c-2 b500 m9909.5 rH
R14 c-4 b285 m9409.5 rU
R15 c-5 b291 m9694.5 rL
R16 c-6 b190 m9403.5 rH
R17 c-6 b186 m9213.5 rW
R18 c-6 b188 m9399.5 rW
R19 c-2 b490 m9775.5 rL
R20 c-2 b465 m9285.5 rL
R21 c-1 b420 m8355.5 rU
R22 c-2 b440 m8775.5 rL
R23 c1 b672 m8335.5 rW
R24 c2 b819 m9007.5 rJ
R25 c2 b824 m10236.5 rD
R26 c3 b927 m10236.5 rS
R27 c2 b882 m9773.0 rH
R28 c4 b801 m8891.0 rW
R29 c3 b873 m9692.0 rU
R30 c1 b848 m10565.0 rH
R31 c2 b784 m9717.0 rU
R32 c4 b954 m10501.0 rD
R33 c5 b1060 m10501.0 rH
R34 c8 b1140 m9441.0 rU
R35 c6 b1166 m10581.0 rL
R36 c5 b950 m9415.0 rB
R37 c4 b850 m8465.0 rW
R38 c1 b658 m9315.0 rJ
R39 c-1 b520 m10302.0 rU
R40 c0 b654 m10822.0 rH
R41 c-3 b408 m10168.0 rU
R42 c-5 b318 m10576.0 rU
R43 c-8 b109 m10894.0 rB
R44 c-8 b108 m10785.0 rB
R45 c-8 b107 m10677.0 rL
R46 c-6 b212 m10570.0 rS
R47 c-6 b210 m10464.0 rL
R48 c-5 b309 m10254.0 rU
R49 c-8 b106 m10563.0 rU
R50 c-7 b214 m10669.0 rL
R51 c-10 b105 m10455.0 rW
R52 c-12 b106 m10560.0 rH
R53 c-15 b105 m10454.0 rU
R54 c-13 b107 m10664.0 rU
R55 c-13 b108 m10771.0 rW
R56 c-9 b110 m10987.0 rW
R57 c-4 b339 m11207.0 rU
R58 c-2 b595 m11885.0 rL
R59 c0 b642 m10695.0 rW
R60 c-1 b570 m11337.0 rU
R61 c-2 b600 m11907.0 rL
R62 c1 b798 m11307.0 rW
R63 c0 b854 m12105.0 rW
R64 c0 b973 m13813.0 rU
R65 c0 b888 m14786.0 rU
R66 c0 b942 m15674.0 rJ
R67 c3 b1539 m17087.0 rL
R68 c3 b1404 m15548.0 rU
R69 c1 b1190 m16952.0 rW
R70 c-2 b910 m18142.0 rH
R71 c-3 b656 m16322.0 rH
R72 c-2 b785 m15666.0 rL
R73 c-2 b745 m14881.0 rU
R74 c-4 b471 m15626.0 rJ
R75 c-3 b656 m16333.0 rL
R76 c1 b1208 m15021.0 rL
R77 c1 b1112 m13813.0 rU
R78 c0 b1050 m14925.0 rW
R79 c3 b1440 m15975.0 rS
R80 c2 b1224 m15255.0 rU
