============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: 7
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rW
R2 c0 b742 m10600 rW
R3 c-1 b570 m11342 rU
R4 c-1 b600 m11912 rL
R5 c-2 b570 m11312 rB
R6 c-1 b540 m10742 rB
R7 c-2 b515 m10202 rU
R8 c-2 b540 m10717 rU
R9 c-1 b565 m11257 rS
R10 c0 b660 m10974.5 rL
R11 c0 b624 m10314.5 rH
R12 c0 b582 m9690.5 rS
R13 c-1 b470 m9399.5 rU
R14 c0 b624 m10339.5 rD
R15 c0 b624 m10339.5 rU
R16 c0 b770 m10963.5 rL
R17 c0 b714 m10193.5 rL
R18 c0 b665 m9479.5 rJ
R19 c-1 b525 m10477.5 rW
R20 c0 b666 m11002.5 rU
R21 c0 b702 m11668.5 rW
R22 c1 b992 m12370.5 rU
R23 c2 b1296 m14354.5 rU
R24 c3 b1413 m15650.5 rW
R25 c1 b1197 m17063.5 rH
R26 c0 b954 m15866.5 rU
R27 c0 b1014 m16820.5 rU
R28 c-1 b895 m17834.5 rB
R29 c-1 b850 m16939.5 rH
R30 c0 b966 m16089.5 rU
R31 c1 b1368 m17055.5 rL
R32 c2 b1413 m15687.5 rL
R33 c2 b1287 m14274.5 rU
R34 c3 b1521 m16848.5 rL
R35 c1 b1232 m15327.5 rL
R36 c0 b987 m14095.5 rL
R37 c0 b924 m13108.5 rB
R38 c0 b854 m12184.5 rU
R39 c0 b786 m13038.5 rD
R40 c0 b786 m13038.5 rU
R41 c1 b1176 m14610.5 rJ
R42 c0 b1148 m16374.5 rU
R43 c0 b1232 m17522.5 rU
R44 c1 b1504 m18754.5 rL
R45 c1 b1211 m17250.5 rU
R46 c1 b1295 m18461.5 rU
R47 c-1 b990 m19756.5 rL
R48 c0 b1128 m18766.5 rU
R49 c2 b1592 m19894.5 rD
R50 c2 b1791 m19894.5 rB
R51 c2 b1638 m18103.5 rU
R52 c1 b1584 m19741.5 rD
R53 c3 b1782 m19741.5 rW
R54 c2 b1944 m21523.5 rW
R55 c1 b1645 m23467.5 rH
R56 c1 b1616 m20177.5 rL
R57 c2 b1674 m18561.5 rL
R58 c1 b1352 m16887.5 rU
R59 c2 b1764 m19591.5 rW
R60 c3 b1926 m21355.5 rS
R61 c2 b1836 m20392.5 rW
R62 c2 b2007 m22228.5 rL
R63 c2 b1827 m20221.5 rL
R64 c2 b1472 m18394.5 rH
R65 c2 b1530 m16922.5 rH
R66 c1 b1232 m15392.5 rL
R67 c0 b994 m14160.5 rW
R68 c0 b1064 m15154.5 rU
R69 c0 b1141 m16218.5 rL
R70 c1 b1208 m15077.5 rW
R71 c1 b1304 m16285.5 rW
R72 c2 b1408 m17589.5 rL
R73 c3 b1458 m16181.5 rU
R74 c3 b1593 m17639.5 rU
R75 c2 b1544 m19232.5 rS
R76 c2 b1665 m18460.5 rW
R77 c3 b1818 m20125.5 rU
R78 c1 b1760 m21943.5 rL
R79 c1 b1414 m20183.5 rU
R80 c0 b1512 m21597.5 rB
R81 c0 b1407 m20085.5 rL
R82 c0 b1309 m18678.5 rS
R83 c1 b1448 m18024.0 rD
R84 c2 b1448 m18024.0 rL
R85 c1 b1328 m16576.0 rS
R86 c0 b1120 m15912.0 rW
R87 c0 b1026 m17032.0 rS
R88 c0 b1162 m16519.0 rD
R89 c-1 b830 m16519.0 rH
R90 c1 b1256 m15689.0 rL
R91 c2 b1188 m13177.0 rU
R92 c3 b1404 m15553.0 rB
R93 c3 b1278 m14149.0 rW
R94 c3 b1395 m15427.0 rH
R95 c1 b1128 m14032.0 rL
R96 c1 b1040 m12904.0 rU
R97 c1 b1200 m14984.0 rU
R98 c1 b1296 m16184.0 rS
R99 c1 b1092 m15536.0 rU
R100 c0 b1002 m16628.0 rH
R101 c0 b942 m15626.0 rU
R102 c-2 b830 m16568.0 rL
R103 c-1 b750 m14908.0 rL
R104 c-2 b675 m13408.0 rS
R105 c-2 b655 m13070.5 rJ
R106 c-3 b564 m14053.5 rW
R107 c-2 b760 m15181.5 rL
R108 c0 b870 m14421.5 rW
R109 c0 b1134 m16161.5 rU
R110 c0 b1038 m17295.5 rJ
R111 c-1 b945 m18852.5 rD
R112 c0 b1134 m18852.5 rU
R113 c1 b1484 m21120.5 rD
R114 c0 b1272 m21120.5 rH
