============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: Z
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rW
R2 c0 b636 m10600 rU
R3 c-3 b452 m11236 rL
R4 c-1 b540 m10784 rD
R5 c-2 b540 m10784 rW
R6 c-2 b570 m11324 rU
R7 c-2 b595 m11894 rW
R8 c-1 b625 m12489 rU
R9 c0 b828 m13739 rL
R10 c1 b847 m12083 rD
R11 c-3 b484 m12083 rL
R12 c-1 b580 m11599 rB
R13 c0 b777 m11019 rL
R14 c0 b618 m10242 rD
R15 c0 b721 m10242 rU
R16 c0 b660 m10963 rB
R17 c-1 b520 m10303 rB
R18 c-2 b490 m9783 rU
R19 c-2 b515 m10273 rW
R20 c0 b648 m10788 rU
R21 c-1 b575 m11436 rW
R22 c0 b726 m12011 rS
R23 c0 b702 m11648.0 rW
R24 c-1 b620 m12350.0 rW
R25 c0 b780 m12970.0 rU
R26 c0 b966 m13750.0 rL
R27 c3 b1071 m11818.0 rU
R28 c5 b1290 m12889.0 rU
R29 c2 b1136 m14179.0 rL
R30 c3 b1080 m11907.0 rW
R31 c1 b910 m12987.0 rU
R32 c2 b1112 m13897.0 rL
R33 c-1 b640 m12785.0 rU
R34 c0 b846 m14065.0 rU
R35 c2 b1350 m14911.0 rB
R36 c1 b1088 m13561.0 rU
R37 c0 b882 m14649.0 rL
R38 c1 b966 m13767.0 rU
R39 c0 b1036 m14733.0 rL
R40 c-2 b685 m13697.0 rU
R41 c1 b1008 m14382.0 rW
R42 c4 b1386 m15390.0 rU
R43 c2 b1512 m16776.0 rS
R44 c2 b1288 m16020.0 rL
R45 c0 b1036 m14732.0 rD
R46 c0 b888 m14732.0 rU
R47 c-2 b785 m15620.0 rU
R48 c0 b1032 m17190.0 rW
R49 c-3 b732 m18222.0 rL
R50 c-2 b875 m17490.0 rL
R51 c-4 b501 m16615.0 rU
R52 c-4 b516 m17116.0 rD
