============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: R
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b400 m10000 rL
R2 c0 b96 m9600 rW
R3 c0 b873 m9696 rL
R4 c0 b89 m8823 rJ
R5 c0 b720 m8957 rB
R6 c0 b166 m8237 rL
R7 c0 b810 m8071 rL
R8 c0 b803 m7261 rL
R9 c0 b65 m6458 rU
R10 c0 b594 m6523 rW
R11 c0 b144 m7117 rL
R12 c0 b490 m6973 rB
R13 c0 b130 m6483 rB
R14 c0 b256 m6353 rL
R15 c0 b427 m6097 rL
R16 c0 b171 m5670 rL
R17 c0 b378 m5328 rU
R18 c0 b427 m6084 rW
R19 c0 b66 m6511 rW
R20 c0 b528 m6577 rB
R21 c0 b427 m6049 rH
R22 c0 b171 m5622 rJ
R23 c0 b531 m5879 rU
R24 c0 b195 m6410 rU
R25 c0 b737 m6605 rS
R26 c0 b441 m6236.5 rU
R27 c0 b72 m7118.5 rJ
R28 c0 b657 m7226.5 rB
R29 c0 b528 m6569.5 rL
R30 c0 b671 m6041.5 rU
R31 c0 b612 m6712.5 rW
R32 c0 b518 m7324.5 rW
R33 c0 b158 m7842.5 rU
R34 c0 b891 m8000.5 rD
R35 c0 b567 m8000.5 rS
R36 c0 b780 m7717.0 rB
R37 c0 b140 m6937.0 rB
R38 c0 b136 m6797.0 rH
R39 c0 b335 m6661.0 rH
R40 c0 b320 m6326.0 rL
R41 c0 b684 m5686.0 rW
R42 c0 b256 m6370.0 rU
R43 c0 b134 m6626.0 rL
R44 c0 b65 m6492.0 rD
R45 c0 b715 m6492.0 rU
R46 c0 b584 m7207.0 rS
R47 c0 b770 m6915.0 rJ
R48 c0 b324 m8070.0 rD
R49 c0 b972 m8070.0 rL
R50 c0 b426 m7098.0 rD
R51 c0 b710 m7098.0 rL
R52 c0 b768 m6388.0 rU
R53 c0 b432 m7156.0 rB
R54 c0 b544 m6724.0 rS
R55 c0 b650 m6452.0 rL
R56 c0 b59 m5802.0 rS
R57 c0 b638 m5772.5 rS
R58 c0 b110 m5453.5 rW
R59 c0 b504 m5563.5 rW
R60 c0 b549 m6067.5 rH
R61 c0 b168 m5518.5 rH
R62 c0 b162 m5350.5 rW
R63 c0 b112 m5512.5 rS
R64 c0 b605 m5456.5 rL
R65 c0 b392 m4851.5 rJ
R66 c0 b165 m5439.5 rL
R67 c0 b530 m5274.5 rH
R68 c0 b528 m4744.5 rJ
R69 c0 b112 m5536.5 rU
R70 c0 b342 m5648.5 rB
R71 c0 b486 m5306.5 rL
R72 c0 b98 m4820.5 rW
R73 c0 b100 m4918.5 rB
R74 c0 b392 m4818.5 rJ
R75 c0 b220 m5406.5 rL
R76 c0 b520 m5186.5 rB
R77 c0 b376 m4666.5 rU
R78 c0 b306 m5042.5 rU
R79 c0 b162 m5348.5 rH
R80 c0 b156 m5186.5 rL
