============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: S
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rU
R2 c0 b636 m10600 rS
R3 c0 b618 m10282.0 rL
R4 c0 b582 m9664.0 rL
R5 c0 b546 m9082.0 rJ
R6 c0 b600 m9901.0 rS
R7 c0 b582 m9601.0 rU
R8 c0 b612 m10183.0 rU
R9 c0 b648 m10795.0 rW
R10 c0 b690 m11443.0 rS
R11 c0 b666 m11098.0 rU
R12 c0 b708 m11764.0 rL
R13 c0 b666 m11056.0 rB
R14 c0 b624 m10390.0 rH
R15 c0 b588 m9766.0 rU
R16 c0 b624 m10354.0 rS
R17 c0 b606 m10042.0 rL
R18 c0 b570 m9436.0 rL
R19 c0 b534 m8866.0 rS
R20 c0 b516 m8599.0 rH
R21 c0 b486 m8083.0 rH
R22 c0 b456 m7597.0 rU
R23 c0 b486 m8053.0 rB
R24 c0 b456 m7567.0 rW
R25 c0 b486 m8023.0 rW
R26 c0 b516 m8509.0 rL
R27 c0 b480 m7993.0 rW
R28 c0 b510 m8473.0 rU
R29 c0 b540 m8983.0 rU
R30 c0 b576 m9523.0 rU
R31 c0 b606 m10099.0 rB
R32 c0 b570 m9493.0 rJ
R33 c0 b624 m10348.0 rL
R34 c0 b588 m9724.0 rW
R35 c0 b624 m10312.0 rB
R36 c0 b582 m9688.0 rW
R37 c0 b618 m10270.0 rB
R38 c0 b582 m9652.0 rS
R39 c0 b564 m9361.0 rU
R40 c0 b600 m9925.0 rU
R41 c0 b636 m10525.0 rS
R42 c0 b618 m10207.0 rH
R43 c0 b576 m9589.0 rW
R44 c0 b612 m10165.0 rU
R45 c0 b648 m10777.0 rH
R46 c0 b570 m9481.0 rU
R47 c0 b606 m10051.0 rU
R48 c0 b642 m10657.0 rU
R49 c0 b678 m11299.0 rS
R50 c0 b660 m10960.0 rB
R51 c0 b618 m10300.0 rB
R52 c0 b582 m9682.0 rS
R53 c0 b564 m9391.0 rL
R54 c0 b534 m8827.0 rU
R55 c0 b564 m9361.0 rW
R56 c0 b600 m9925.0 rH
R57 c0 b528 m8725.0 rJ
R58 c0 b576 m9517.0 rU
R59 c0 b606 m10093.0 rS
R60 c0 b588 m9790.0 rU
R61 c0 b624 m10378.0 rS
R62 c0 b606 m10066.0 rJ
R63 c0 b660 m10975.0 rL
R64 c0 b624 m10315.0 rU
R65 c0 b660 m10939.0 rU
R66 c0 b696 m11599.0 rJ
R67 c0 b762 m12643.0 rW
R68 c0 b810 m13405.0 rW
R69 c0 b858 m14215.0 rH
R70 c0 b804 m13357.0 rS
R71 c0 b780 m12955.0 rS
R72 c0 b756 m12565.0 rH
R73 c0 b714 m11809.0 rD
R74 c0 b714 m11809.0 rL
R75 c0 b666 m11095.0 rB
R76 c0 b630 m10429.0 rW
R77 c0 b666 m11059.0 rW
R78 c0 b708 m11725.0 rL
R79 c0 b666 m11017.0 rW
