============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: 7
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rU
R2 c0 b636 m10600 rW
R3 c-1 b565 m11236 rU
R4 c-1 b595 m11801 rL
R5 c0 b791 m11206 rD
R6 c0 b791 m11206 rH
R7 c1 b840 m10415 rU
R8 c1 b904 m11255 rB
R9 c1 b832 m10351 rL
R10 c1 b768 m9519 rL
R11 c2 b640 m7983 rW
R12 c0 b609 m8623 rW
R13 c1 b792 m9841 rB
R14 c0 b637 m9049 rU
R15 c0 b582 m9686 rU
R16 c0 b763 m10850 rW
R17 c0 b702 m11613 rU
R18 c0 b917 m13017 rJ
R19 c1 b1152 m14393 rL
R20 c2 b1089 m12089 rU
R21 c3 b1188 m13178 rJ
R22 c2 b1350 m14960 rU
R23 c2 b1476 m16310 rS
R24 c2 b1404 m15572.0 rJ
R25 c1 b1416 m17678.0 rW
R26 c0 b1337 m19094.0 rU
R27 c0 b1230 m20431.0 rB
R28 c0 b1158 m19201.0 rU
R29 c0 b1428 m20359.0 rB
R30 c1 b1330 m18931.0 rB
R31 c1 b1239 m17601.0 rL
R32 c3 b1476 m16362.0 rU
R33 c5 b1940 m19314.0 rW
R34 c7 b2552 m23194.0 rL
R35 c5 b2070 m20642.0 rB
R36 c4 b1860 m18572.0 rJ
R37 c3 b1926 m21362.0 rL
R38 c4 b1950 m19436.0 rS
R39 c4 b1850 m18461.0 rU
R40 c4 b2040 m20311.0 rU
R41 c4 b2016 m22351.0 rL
R42 c4 b1836 m20335.0 rU
R43 c5 b2410 m24007.0 rS
R44 c5 b2290 m22802.0 rW
R45 c5 b2740 m27382.0 rD
R46 c3 b2466 m27382.0 rU
R47 c3 b2691 m29848.0 rU
R48 c2 b3177 m35230.0 rD
R49 c2 b2824 m35230.0 rW
R50 c1 b2667 m38054.0 rU
R51 c0 b2856 m40721.0 rU
R52 c2 b3924 m43577.0 rS
R53 c2 b3336 m41615.0 rU
R54 c4 b4500 m44951.0 rU
R55 c4 b4950 m49451.0 rJ
R56 c4 b5690 m56876.0 rD
R57 c3 b5121 m56876.0 rU
R58 c6 b6820 m61997.0 rW
R59 c4 b6890 m68817.0 rU
R60 c4 b6822 m75707.0 rJ
R61 c4 b8600 m85940.0 rU
R62 c5 b9460 m94540.0 rD
R63 c6 b10406 m94540.0 rU
R64 c7 b11550 m104946.0 rU
R65 c7 b12815 m116496.0 rH
R66 c8 b10908 m90866.0 rW
R67 c9 b12216 m101774.0 rS
R68 c9 b11484 m95666.0 rW
R69 c9 b12864 m107150.0 rS
R70 c11 b12096 m100718.0 rU
R71 c12 b13548 m112814.0 rW
R72 c12 b15168 m126362.0 rU
R73 c10 b16992 m141530.0 rB
R74 c10 b14952 m124538.0 rW
R75 c9 b16740 m139490.0 rD
R76 c7 b15345 m139490.0 rH
R77 c7 b13662 m124145.0 rL
R78 c5 b11050 m110483.0 rW
R79 c7 b13376 m121533.0 rL
R80 c8 b11902 m108157.0 rW
R81 c7 b13211 m120059.0 rB
R82 c6 b11759 m106848.0 rL
R83 c8 b10008 m83330.0 rL
R84 c8 b8074 m73322.0 rB
R85 c8 b7836 m65248.0 rB
R86 c7 b6325 m57412.0 rH
R87 c6 b5621 m51087.0 rH
R88 c7 b4389 m39845.0 rH
R89 c8 b4260 m35456.0 rD
R90 c7 b3905 m35456.0 rB
R91 c7 b3476 m31551.0 rU
R92 c7 b3861 m35027.0 rU
R93 c7 b4279 m38888.0 rU
R94 c6 b4752 m43167.0 rS
R95 c6 b4488 m40791.0 rU
R96 c7 b5478 m49767.0 rU
R97 c9 b7296 m60723.0 rL
R98 c11 b5544 m46131.0 rW
R99 c11 b6204 m51675.0 rB
R100 c10 b5460 m45471.0 rW
R101 c8 b6120 m50931.0 rS
R102 c8 b5748 m47871.0 rU
R103 c7 b5907 m53619.0 rS
R104 c7 b5577 m50665.5 rW
R105 c7 b6193 m56242.5 rU
R106 c6 b6875 m62435.5 rB
R107 c7 b6116 m55560.5 rU
R108 c9 b7404 m61676.5 rW
R109 c8 b7601 m69080.5 rU
R110 c9 b9204 m76681.5 rH
R111 c9 b8100 m67477.5 rU
R112 c9 b9072 m75577.5 rU
R113 c10 b10164 m84649.5 rB
R114 c9 b8940 m74485.5 rL
R115 c11 b6804 m56605.5 rS
